,core0_status,core1_status,core2_status,core3_status,core_freq,gpu_status,gpu_freq,emc_status,emc_freq,inference_time,energy_consumption,kernel.cpu_time_max_percent,kernel.random.read_wakeup_threshold,kernel.random.write_wakeup_threshold,kernel.sched_cfs_bandwith_slice_us,kernel.sched_child_runs_first,kernel.sched_rr_timeslice_ms,kernel.sched_rt_period_us,kernel.sched_rt_runtime_us,kernel.timer_migration,vm.block_dump,vm.compact_unevictable_allowed,vm.dirty_background_bytes,vm.dirty_background_ratio,vm.dirty_bytes,vm.dirty_expire_centisecs,vm.dirty_ratio,vm.dirty_writeback_centisecs,vm.dirtytime_expire_seconds,vm.drop_caches,vm.extfrag_threshold,vm.extra_free_kbytes,vm.lazy_vfree_pages,vm.lazy_vfree_tlb_flush_all_threshold,vm.max_map_count,vm.min_free_kbytes,vm.mmap_min_addr,vm.nr_pdflush_threads,vm.oom_dump_tasks,vm.oom_kill_allocating_task,vm.overcommit_kbytes,vm.overcommit_memory,vm.overcommit_ratio,vm.page-cluster,vm.percpu_pagelist_fraction,vm.stat_interval,vm.swappiness,vm.user_reserve_kbytes,vm.vfs_cache_pressure,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,alignment-faults,block:block_bio_backmerge,block:block_bio_bounce,block:block_bio_complete,block:block_bio_frontmerge,block:block_bio_queue,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_plug,block:block_rq_abort,block:block_rq_complete,block:block_rq_insert,block:block_rq_issue,block:block_rq_remap,block:block_rq_requeue,block:block_sleeprq,block:block_split,block:block_touch_buffer,block:block_unplug,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,context-switches,cycles,emulation-faults,ext4:ext4_alloc_da_blocks,ext4:ext4_allocate_blocks,ext4:ext4_allocate_inode,ext4:ext4_begin_ordered_truncate,ext4:ext4_collapse_range,ext4:ext4_da_release_space,ext4:ext4_da_reserve_space,ext4:ext4_da_update_reserve_space,ext4:ext4_da_write_begin,ext4:ext4_da_write_end,ext4:ext4_da_write_pages,ext4:ext4_da_write_pages_extent,ext4:ext4_direct_IO_enter,ext4:ext4_direct_IO_exit,ext4:ext4_discard_blocks,ext4:ext4_discard_preallocations,ext4:ext4_drop_inode,ext4:ext4_es_cache_extent,ext4:ext4_es_find_delayed_extent_range_enter,ext4:ext4_es_find_delayed_extent_range_exit,ext4:ext4_es_insert_extent,ext4:ext4_es_lookup_extent_enter,ext4:ext4_es_lookup_extent_exit,ext4:ext4_es_remove_extent,ext4:ext4_es_shrink,ext4:ext4_es_shrink_count,ext4:ext4_es_shrink_scan_enter,ext4:ext4_es_shrink_scan_exit,ext4:ext4_evict_inode,ext4:ext4_ext_convert_to_initialized_enter,ext4:ext4_ext_convert_to_initialized_fastpath,ext4:ext4_ext_handle_unwritten_extents,ext4:ext4_ext_in_cache,ext4:ext4_ext_load_extent,ext4:ext4_ext_map_blocks_enter,ext4:ext4_ext_map_blocks_exit,ext4:ext4_ext_put_in_cache,ext4:ext4_ext_remove_space,ext4:ext4_ext_remove_space_done,ext4:ext4_ext_rm_idx,ext4:ext4_ext_rm_leaf,ext4:ext4_ext_show_extent,ext4:ext4_fallocate_enter,ext4:ext4_fallocate_exit,ext4:ext4_find_delalloc_range,ext4:ext4_forget,ext4:ext4_free_blocks,ext4:ext4_free_inode,ext4:ext4_get_implied_cluster_alloc_exit,ext4:ext4_get_reserved_cluster_alloc,ext4:ext4_ind_map_blocks_enter,ext4:ext4_ind_map_blocks_exit,ext4:ext4_insert_range,ext4:ext4_invalidatepage,ext4:ext4_journal_start,ext4:ext4_journal_start_reserved,ext4:ext4_journalled_invalidatepage,ext4:ext4_journalled_write_end,ext4:ext4_load_inode,ext4:ext4_load_inode_bitmap,ext4:ext4_mark_inode_dirty,ext4:ext4_mb_bitmap_load,ext4:ext4_mb_buddy_bitmap_load,ext4:ext4_mb_discard_preallocations,ext4:ext4_mb_new_group_pa,ext4:ext4_mb_new_inode_pa,ext4:ext4_mb_release_group_pa,ext4:ext4_mb_release_inode_pa,ext4:ext4_mballoc_alloc,ext4:ext4_mballoc_discard,ext4:ext4_mballoc_free,ext4:ext4_mballoc_prealloc,ext4:ext4_other_inode_update_time,ext4:ext4_punch_hole,ext4:ext4_read_block_bitmap_load,ext4:ext4_readpage,ext4:ext4_releasepage,ext4:ext4_remove_blocks,ext4:ext4_request_blocks,ext4:ext4_request_inode,ext4:ext4_sync_file_enter,ext4:ext4_sync_file_exit,ext4:ext4_sync_fs,ext4:ext4_trim_all_free,ext4:ext4_trim_extent,ext4:ext4_truncate_enter,ext4:ext4_truncate_exit,ext4:ext4_unlink_enter,ext4:ext4_unlink_exit,ext4:ext4_write_begin,ext4:ext4_write_end,ext4:ext4_writepage,ext4:ext4_writepages,ext4:ext4_writepages_result,ext4:ext4_zero_range,major-faults,migrations,minor-faults,page-faults,sched:sched_blocked_reason,sched:sched_cpu_hotplug,sched:sched_kthread_stop,sched:sched_kthread_stop_ret,sched:sched_migrate_task,sched:sched_move_numa,sched:sched_pi_setprio,sched:sched_process_exec,sched:sched_process_exit,sched:sched_process_fork,sched:sched_process_free,sched:sched_process_wait,sched:sched_stat_blocked,sched:sched_stat_iowait,sched:sched_stat_runtime,sched:sched_stat_sleep,sched:sched_stat_wait,sched:sched_stick_numa,sched:sched_swap_numa,sched:sched_switch,sched:sched_wait_task,sched:sched_wake_idle_without_ipi,sched:sched_wakeup,sched:sched_wakeup_new,sched:sched_waking
0,1,0,0,0,2035200,1,943500000,1,800000000,8.17244791985,220551,25,64,896,5000,0,25,1000000,950000,1,0,1,0,10,0,3000,20,500,43200,0,500,0,8192,536870912,65530,11337,32768,0,1,0,0,0,50,3,0,1,60,1310,100,"166,024,097","1,504,673,782","1,509,539,765",0,0,0,0,0,78,78,1,78,28,0,0,78,0,0,0,0,0,"1,772",28,"33,838,027","770,979,737","33,788,549","163,212,196","1,504,519,455","9,189","7,217,300,509",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,60,"1,345","1,345",1,0,0,0,0,0,0,0,0,0,0,59,59,0,1,1,0,1,57,0,0,0,0,1,0,0,1,0,0,0,0,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,12,"1,111","134,639","134,666",899,0,0,0,"1,121",0,0,421,431,430,115,419,"1,621,677,216","52,430,432","9,994,879,616","398,039,094,432","692,233,056",0,0,"9,189",0,0,"12,954",860,"13,276"
0,1,1,0,0,345600,1,497250000,1,40800000,19.3853960037,15770,25,64,896,5000,0,25,1000000,950000,1,0,1,0,10,0,3000,20,500,43200,0,500,0,8192,536870912,65530,11337,32768,0,1,0,0,0,50,3,0,1,60,1310,100,"78,015,644","1,464,437,109","1,450,689,854",0,0,0,0,0,12,12,1,12,12,0,0,12,0,0,0,0,0,29,12,"70,495,434","581,755,952","69,928,121","76,678,740","1,451,365,654","13,228","66,169,797,737",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,14,63,63,1,0,0,0,0,0,0,0,0,0,0,13,13,0,1,1,0,1,11,0,0,0,0,1,0,0,1,0,0,0,1,12,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,772,"39,609","39,609",210,0,0,0,"1,316",0,0,93,103,102,25,91,"4,503,964,512","93,710,496","46,465,456,640","1,028,290,268,608","13,741,536,384",0,0,"13,228",0,0,"15,171",204,"16,168"
0,1,1,0,0,345600,1,497250000,1,40800000,20.382835865,16837,25,64,896,5000,0,25,1000000,950000,1,0,1,0,10,0,3000,20,500,43200,0,500,0,8192,536870912,65530,11337,32768,0,1,0,0,0,50,3,0,1,60,1310,100,"82,605,398","1,469,257,634","1,464,081,171",0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,32,1,"67,760,546","568,892,765","67,745,609","82,331,501","1,457,046,427","15,495","53,824,464,580",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,3,50,50,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,665,"41,510","41,510",244,0,0,0,"1,077",0,0,99,109,108,45,97,"6,061,527,104",0,"39,366,437,888","1,095,542,648,448","15,291,829,408",0,0,"15,495",0,0,"17,596",216,"18,681"
0,1,1,0,0,345600,1,497250000,1,40800000,22.5868930817,18894,25,64,896,5000,0,25,1000000,950000,1,0,1,0,10,0,3000,20,500,43200,0,500,0,8192,536870912,65530,11337,32768,0,1,0,0,0,50,3,0,1,60,1310,100,"83,127,540","1,527,031,342","1,527,761,819",0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,32,1,"76,906,468","599,028,154","76,967,401","82,173,736","1,523,548,147","14,331","62,633,756,681",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,3,50,50,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,727,"44,861","44,861",260,0,0,0,"1,163",0,0,111,121,120,49,109,"6,553,401,376",0,"42,889,204,768","978,785,754,592","16,931,746,368",0,0,"14,331",0,0,"16,395",240,"17,142"
0,1,1,0,0,345600,1,497250000,1,40800000,21.318062067,17753,25,64,896,5000,0,25,1000000,950000,1,0,1,0,10,0,3000,20,500,43200,0,500,0,8192,536870912,65530,11337,32768,0,1,0,0,0,50,3,0,1,60,1310,100,"74,881,511","1,433,324,372","1,411,890,833",0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,31,1,"72,670,732","562,318,674","73,091,235","77,466,708","1,426,323,886","11,660","61,311,615,494",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,3,50,50,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,654,"42,103","42,103",289,0,0,0,"1,005",0,0,103,113,112,44,101,"4,139,818,016","25,404,992","42,472,721,824","932,469,483,936","14,913,651,872",0,0,"11,660",0,0,"13,401",224,"14,306"
0,1,1,0,0,345600,1,497250000,1,40800000,19.9430320263,18360,25,64,896,5000,0,25,1000000,950000,1,0,1,0,10,0,3000,20,500,43200,0,500,0,8192,536870912,65530,11337,32768,0,1,0,0,0,50,3,0,1,60,1310,100,"79,577,941","1,429,370,208","1,433,365,920",0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,34,1,"72,600,184","565,703,625","73,435,585","78,295,017","1,428,803,577","13,367","57,520,924,785",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,3,50,50,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,666,"43,558","43,558",228,0,0,0,"1,077",0,0,107,117,116,36,105,"4,732,793,472",0,"39,851,382,400","781,332,618,016","13,703,752,544",0,0,"13,367",0,0,"15,186",232,"16,088"
0,1,1,1,1,499200,1,140250000,1,1062400000,0.545605897903,4111,25,64,896,5000,0,25,1000000,950000,1,0,1,0,10,0,3000,20,500,43200,0,500,0,8192,536870912,65530,11337,32768,0,1,0,0,0,50,3,0,1,60,1310,100,"24,972,306","589,332,824","583,247,668",0,0,0,0,0,6,6,1,6,6,0,0,6,0,0,0,0,0,26,6,"14,100,240","275,176,561","14,489,433","25,172,040","588,616,971",949,"2,340,749,873",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,8,55,55,1,0,0,0,0,0,0,0,0,0,0,7,7,0,1,1,0,1,5,0,0,0,0,1,0,0,1,0,0,0,1,10,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,92,"23,091","23,091",79,0,0,0,88,0,0,31,41,40,7,29,"23,758,144","2,408,384","1,896,850,528","32,285,639,424","87,841,632",0,0,949,0,0,"1,259",80,"1,506"
0,1,1,1,1,499200,1,140250000,1,1062400000,0.545758962631,4491,25,64,896,5000,0,25,1000000,950000,1,0,1,0,10,0,3000,20,500,43200,0,500,0,8192,536870912,65530,11337,32768,0,1,0,0,0,50,3,0,1,60,1310,100,"25,669,049","590,252,378","582,883,175",0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,29,1,"14,001,029","277,529,682","13,951,278","25,372,910","578,702,281",802,"2,299,813,047",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,3,50,50,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,10,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,90,"23,506","23,506",60,0,0,0,102,0,0,33,43,42,6,31,"317,659,904",0,"1,964,512,448","42,230,222,112","58,115,520",0,0,802,0,0,"1,092",84,"1,389"
0,1,1,1,1,499200,1,140250000,1,1062400000,0.52742600441,4796,25,64,896,5000,0,25,1000000,950000,1,0,1,0,10,0,3000,20,500,43200,0,500,0,8192,536870912,65530,11337,32768,0,1,0,0,0,50,3,0,1,60,1310,100,"25,441,469","581,648,677","577,622,842",0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,31,1,"13,832,875","277,376,625","14,220,674","25,580,869","589,431,946",865,"2,348,785,231",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,3,50,50,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,10,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,104,"23,700","23,700",40,0,0,0,122,0,0,33,43,42,6,31,"219,799,104",0,"1,934,182,144","35,851,960,576","54,358,080",0,0,865,0,0,"1,082",84,"1,491"
0,1,1,1,1,499200,1,140250000,1,1062400000,0.535881996155,4263,25,64,896,5000,0,25,1000000,950000,1,0,1,0,10,0,3000,20,500,43200,0,500,0,8192,536870912,65530,11337,32768,0,1,0,0,0,50,3,0,1,60,1310,100,"25,821,044","573,798,848","579,035,599",0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,30,1,"14,114,108","277,236,790","13,695,230","25,025,877","570,322,829",804,"2,247,706,884",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,3,50,50,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,10,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,93,"22,932","22,932",46,0,0,0,96,0,0,31,41,40,12,29,"28,641,312",0,"1,925,619,648","24,621,145,632","92,942,848",0,0,804,0,0,"1,004",80,"1,259"
