,core0_status,core1_status,core2_status,core3_status,core_freq,gpu_status,gpu_freq,emc_status,emc_freq,inference_time,total_energy_consumption,gpu_energy_consumption,cpu_energy_consumption,total_temp,gpu_temp,cpu_temp,cpu_utilization,kernel.cpu_time_max_percent,kernel.random.read_wakeup_threshold,kernel.random.write_wakeup_threshold,kernel.sched_cfs_bandwith_slice_us,kernel.sched_child_runs_first,kernel.sched_rr_timeslice_ms,kernel.sched_rt_period_us,kernel.sched_rt_runtime_us,kernel.timer_migration,scheduler.policy,vm.dirty_background_bytes,vm.dirty_background_ratio,vm.dirty_bytes,vm.drop_caches,vm.swappiness,vm.vfs_cache_pressure,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,alignment-faults,block:block_bio_backmerge,block:block_bio_bounce,block:block_bio_complete,block:block_bio_frontmerge,block:block_bio_queue,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_plug,block:block_rq_abort,block:block_rq_complete,block:block_rq_insert,block:block_rq_issue,block:block_rq_remap,block:block_rq_requeue,block:block_sleeprq,block:block_split,block:block_touch_buffer,block:block_unplug,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,context-switches,cycles,emulation-faults,ext4:ext4_alloc_da_blocks,ext4:ext4_allocate_blocks,ext4:ext4_allocate_inode,ext4:ext4_begin_ordered_truncate,ext4:ext4_collapse_range,ext4:ext4_da_release_space,ext4:ext4_da_reserve_space,ext4:ext4_da_update_reserve_space,ext4:ext4_da_write_begin,ext4:ext4_da_write_end,ext4:ext4_da_write_pages,ext4:ext4_da_write_pages_extent,ext4:ext4_direct_IO_enter,ext4:ext4_direct_IO_exit,ext4:ext4_discard_blocks,ext4:ext4_discard_preallocations,ext4:ext4_drop_inode,ext4:ext4_es_cache_extent,ext4:ext4_es_find_delayed_extent_range_enter,ext4:ext4_es_find_delayed_extent_range_exit,ext4:ext4_es_insert_extent,ext4:ext4_es_lookup_extent_enter,ext4:ext4_es_lookup_extent_exit,ext4:ext4_es_remove_extent,ext4:ext4_es_shrink,ext4:ext4_es_shrink_count,ext4:ext4_es_shrink_scan_enter,ext4:ext4_es_shrink_scan_exit,ext4:ext4_evict_inode,ext4:ext4_ext_convert_to_initialized_enter,ext4:ext4_ext_convert_to_initialized_fastpath,ext4:ext4_ext_handle_unwritten_extents,ext4:ext4_ext_in_cache,ext4:ext4_ext_load_extent,ext4:ext4_ext_map_blocks_enter,ext4:ext4_ext_map_blocks_exit,ext4:ext4_ext_put_in_cache,ext4:ext4_ext_remove_space,ext4:ext4_ext_remove_space_done,ext4:ext4_ext_rm_idx,ext4:ext4_ext_rm_leaf,ext4:ext4_ext_show_extent,ext4:ext4_fallocate_enter,ext4:ext4_fallocate_exit,ext4:ext4_find_delalloc_range,ext4:ext4_forget,ext4:ext4_free_blocks,ext4:ext4_free_inode,ext4:ext4_get_implied_cluster_alloc_exit,ext4:ext4_get_reserved_cluster_alloc,ext4:ext4_ind_map_blocks_enter,ext4:ext4_ind_map_blocks_exit,ext4:ext4_insert_range,ext4:ext4_invalidatepage,ext4:ext4_journal_start,ext4:ext4_journal_start_reserved,ext4:ext4_journalled_invalidatepage,ext4:ext4_journalled_write_end,ext4:ext4_load_inode,ext4:ext4_load_inode_bitmap,ext4:ext4_mark_inode_dirty,ext4:ext4_mb_bitmap_load,ext4:ext4_mb_buddy_bitmap_load,ext4:ext4_mb_discard_preallocations,ext4:ext4_mb_new_group_pa,ext4:ext4_mb_new_inode_pa,ext4:ext4_mb_release_group_pa,ext4:ext4_mb_release_inode_pa,ext4:ext4_mballoc_alloc,ext4:ext4_mballoc_discard,ext4:ext4_mballoc_free,ext4:ext4_mballoc_prealloc,ext4:ext4_other_inode_update_time,ext4:ext4_punch_hole,ext4:ext4_read_block_bitmap_load,ext4:ext4_readpage,ext4:ext4_releasepage,ext4:ext4_remove_blocks,ext4:ext4_request_blocks,ext4:ext4_request_inode,ext4:ext4_sync_file_enter,ext4:ext4_sync_file_exit,ext4:ext4_sync_fs,ext4:ext4_trim_all_free,ext4:ext4_trim_extent,ext4:ext4_truncate_enter,ext4:ext4_truncate_exit,ext4:ext4_unlink_enter,ext4:ext4_unlink_exit,ext4:ext4_write_begin,ext4:ext4_write_end,ext4:ext4_writepage,ext4:ext4_writepages,ext4:ext4_writepages_result,ext4:ext4_zero_range,instructions,irq:irq_handler_entry,irq:irq_handler_exit,irq:softirq_entry,irq:softirq_exit,irq:softirq_raise,major-faults,migrations,minor-faults,raw_syscalls:sys_enter,raw_syscalls:sys_exit,sched:sched_blocked_reason,sched:sched_cpu_hotplug,sched:sched_kthread_stop,sched:sched_kthread_stop_ret,sched:sched_migrate_task,sched:sched_move_numa,sched:sched_pi_setprio,sched:sched_process_exec,sched:sched_process_exit,sched:sched_process_fork,sched:sched_process_free,sched:sched_process_wait,sched:sched_stat_blocked,sched:sched_stat_iowait,sched:sched_stat_runtime,sched:sched_stat_sleep,sched:sched_stat_wait,sched:sched_stick_numa,sched:sched_swap_numa,sched:sched_switch,sched:sched_wait_task,sched:sched_wake_idle_without_ipi,sched:sched_wakeup,sched:sched_wakeup_new,sched:sched_waking
0,1,0,1,1,2035200,1,854250000,1,204000000,158.350055933,3040443,160892,749689,39950.149925,40493.2533733,42026.2368816,5,25,64,896,5000,0,25,1000000,950000,1,0,0,10,0,0,0,100,"2,877,216,380","20,629,940,976","20,618,358,623",0,252,0,0,13,"7,488","7,409",1,"7,223","1,004",0,0,"7,223",0,0,0,10,0,"2,109","1,005","336,252,578","11,789,274,390","336,154,364","2,877,591,401","20,568,296,611","152,639","112,279,733,662",0,1,1,0,0,0,0,1,1,1,1,2,1,0,0,0,"1,821","1,353",72,19,19,897,"4,127","4,127","2,249",4,69,4,4,"2,248",0,0,0,0,8,896,896,0,1,1,0,1,894,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,11,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,64,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,"44,488,596,124","85,024","85,024","124,696","124,696","126,921",713,"24,746","1,828,856","596,417","588,331","34,332",0,0,0,"21,881",0,0,"8,077","8,087","8,086","1,851","8,075","143,265,341,984","105,944,964,128","173,502,783,424","7,748,526,354,880","25,490,126,336",0,0,"152,639",0,0,"220,010","16,172","224,738"
0,1,0,1,1,2035200,1,854250000,1,204000000,25.3752551079,672035,72082,291552,41617.0634921,42174.6031746,44000.0,5,25,64,896,5000,0,25,1000000,950000,1,0,0,10,0,0,0,100,"568,993,883","4,676,916,242","4,626,155,650",0,6,0,0,1,150,142,1,143,43,0,0,143,0,0,0,0,0,"1,827",43,"127,490,687","2,548,641,617","127,642,661","562,625,271","4,704,373,234","29,078","89,455,767,654",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,4,43,0,1,1,183,"1,496","1,496",11,3,29,3,3,10,0,0,0,0,0,182,182,0,1,1,0,1,180,0,0,0,0,1,0,0,1,0,0,0,0,12,0,0,0,2,0,13,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,"9,469,482,705","19,406","19,406","34,224","34,224","34,964",23,"4,726","376,686","134,702","133,150","1,658",0,0,0,"4,938",0,0,"1,543","1,553","1,552",580,"1,541","12,411,428,512","294,775,936","48,155,129,120","1,826,783,211,680","16,109,955,264",0,0,"29,078",0,0,"39,236","3,104","41,413"
0,1,0,1,1,2035200,1,854250000,1,204000000,0.462818145752,12617,1446,4876,41916.6666667,42166.6666667,43666.6666667,5,25,64,896,5000,0,25,1000000,950000,1,0,0,10,0,0,0,100,"35,869,305","842,918,953","829,240,776",0,"1,716",0,0,53,"2,812","2,811",1,"1,043",595,0,0,"1,043",0,0,0,0,0,"7,731",595,"20,567,392","373,453,626","20,501,607","37,521,236","820,478,141","2,065","6,429,263,248",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,6,1,1,792,"8,312","8,312",1,0,0,0,0,0,0,0,0,0,1,791,791,0,1,1,0,1,789,0,0,0,0,1,0,0,1,0,0,0,1,10,0,0,0,63,0,11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,"1,544,749,708","1,520","1,520","2,663","2,663","2,713",10,198,"24,942","22,901","22,853",217,0,0,0,233,0,0,43,49,48,16,41,"909,997,664","525,156,288","4,031,050,432","369,153,301,856","555,027,328",0,0,"2,065",0,0,"3,043",96,"3,658"
0,1,0,1,1,2035200,1,854250000,1,204000000,0.536517858505,14521,1675,6170,41125.0,42000.0,44000.0,5,25,64,896,5000,0,25,1000000,950000,1,0,0,10,0,0,0,100,"27,596,868","708,652,682","669,022,299",0,0,0,0,0,6,6,1,6,6,0,0,6,0,0,0,0,0,33,6,"19,489,453","292,478,696","19,544,622","29,178,190","732,686,278","1,525","6,646,035,758",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,25,55,55,1,0,0,0,0,0,0,0,0,0,0,24,24,0,1,1,0,1,22,0,0,0,0,1,0,0,1,0,0,0,1,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,"1,483,106,507","1,397","1,397","2,401","2,401","2,422",0,137,"23,876","22,495","22,455",33,0,0,0,158,0,0,37,41,40,9,35,"98,460,608","4,874,560","3,659,154,944","39,945,264,128","628,823,840",0,0,"1,525",0,0,"1,645",80,"1,643"
0,1,0,1,1,2035200,1,854250000,1,204000000,0.471414804459,13264,1829,5105,41500.0,42250.0,43500.0,5,25,64,896,5000,0,25,1000000,950000,1,1,0,10,0,0,0,100,"27,758,882","683,377,464","666,510,312",0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,31,1,"18,235,322","297,290,268","17,872,175","27,851,504","705,648,146","1,189","5,857,053,259",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,3,50,50,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,"1,447,061,515","1,310","1,310","2,245","2,245","2,272",0,151,"23,346","22,546","22,506",142,0,0,0,148,0,0,37,41,40,13,35,"77,965,024","2,381,024","3,430,830,400","39,550,145,600","483,469,728",0,0,"1,189",0,0,"1,622",80,"1,856"
0,1,0,1,1,2035200,1,854250000,1,204000000,0.406206846237,8309,990,3352,41500.0,42000.0,43500.0,5,25,64,896,5000,0,25,1000000,950000,1,1,0,10,0,0,0,100,"25,224,846","676,124,304","656,775,705",0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,33,1,"17,799,101","303,198,640","17,518,698","25,869,254","701,941,473",887,"5,617,866,607",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,3,50,50,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,10,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,"1,453,915,155","1,115","1,115","2,295","2,295","2,320",0,113,"21,921","22,004","21,970",66,0,0,0,139,0,0,31,35,34,9,29,"351,129,472",0,"3,276,619,136","37,757,941,344","453,361,760",0,0,887,0,0,"1,177",68,"1,421"
0,1,0,1,1,2035200,1,854250000,1,204000000,0.408487081528,13187,1446,4876,41500.0,42000.0,43500.0,5,25,64,896,5000,0,25,1000000,950000,1,1,0,10,0,0,0,100,"28,767,617","677,992,228","673,001,385",0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,30,1,"18,059,102","303,064,634","18,065,354","28,914,492","692,187,226","1,069","5,764,922,634",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,3,50,50,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,"1,434,367,505","1,147","1,147","2,298","2,298","2,326",0,131,"23,147","22,737","22,696",93,0,0,0,164,0,0,37,42,41,14,35,"473,668,384","2,304,352","3,386,258,016","52,370,822,144","372,837,568",0,0,"1,069",0,0,"1,457",82,"1,743"
0,1,0,1,1,2035200,1,854250000,1,204000000,1.09454393387,24891,2741,9602,41450.0,42100.0,43700.0,5,25,64,896,5000,0,25,1000000,950000,1,0,0,10,0,0,0,500,"41,244,167","774,335,512","745,502,365",0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,35,1,"18,793,475","344,214,922","19,325,865","42,436,244","800,791,984","1,609","7,429,401,246",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,3,50,50,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,10,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,"1,672,495,754","1,439","1,439","3,105","3,105","3,158",0,231,"32,035","25,383","25,301",118,0,0,0,252,0,0,73,83,82,22,71,"609,699,744","837,152","4,495,789,920","126,140,647,040","448,971,296",0,0,"1,609",0,0,"2,182",164,"2,502"
0,1,0,1,1,2035200,1,854250000,1,204000000,1.00286698341,24627,2741,9144,41450.0,41900.0,43500.0,5,25,64,896,5000,0,25,1000000,950000,1,0,0,10,0,0,0,500,"41,576,629","765,070,172","735,805,587",0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,35,1,"19,670,717","341,290,045","19,485,673","42,094,309","783,297,330","1,533","7,330,781,285",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,4,69,69,1,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,"1,618,299,269","1,477","1,477","2,995","2,995","3,033",0,234,"32,120","25,288","25,206",112,0,0,0,268,0,0,73,83,82,21,71,"568,430,400",0,"4,465,855,040","93,494,445,984","418,213,120",0,0,"1,533",0,0,"2,087",164,"2,525"
0,1,0,1,1,2035200,1,854250000,1,204000000,1.01625394821,24551,2817,9220,41416.6666667,41750.0,43500.0,5,25,64,896,5000,0,25,1000000,950000,1,0,0,10,0,0,0,500,"41,101,271","762,404,618","726,014,894",0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,840,1,"19,233,449","323,866,440","19,108,794","43,624,807","782,705,921","1,496","7,154,286,345",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,13,905,905,1,0,0,0,0,0,0,0,0,0,0,12,12,0,1,1,0,1,10,0,0,0,0,1,0,0,1,0,0,0,1,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,"1,635,490,996","1,395","1,395","3,049","3,049","3,093",0,218,"33,226","25,747","25,659",103,0,0,0,255,0,0,79,89,88,20,77,"522,276,448","228,064","4,450,967,008","68,858,072,896","428,287,232",0,0,"1,496",0,0,"2,124",176,"2,470"
