,core0_status,core1_status,core2_status,core3_status,core_freq,gpu_status,gpu_freq,emc_status,emc_freq,inference_time,total_energy_consumption,gpu_energy_consumption,cpu_energy_consumption,total_temp,gpu_temp,cpu_temp,cpu_utilization,kernel.cpu_time_max_percent,kernel.random.read_wakeup_threshold,kernel.random.write_wakeup_threshold,kernel.sched_cfs_bandwith_slice_us,kernel.sched_child_runs_first,kernel.sched_rr_timeslice_ms,kernel.sched_rt_period_us,kernel.sched_rt_runtime_us,kernel.timer_migration,scheduler.policy,vm.dirty_background_bytes,vm.dirty_background_ratio,vm.dirty_bytes,vm.drop_caches,vm.swappiness,vm.vfs_cache_pressure,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,alignment-faults,block:block_bio_backmerge,block:block_bio_bounce,block:block_bio_complete,block:block_bio_frontmerge,block:block_bio_queue,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_plug,block:block_rq_abort,block:block_rq_complete,block:block_rq_insert,block:block_rq_issue,block:block_rq_remap,block:block_rq_requeue,block:block_sleeprq,block:block_split,block:block_touch_buffer,block:block_unplug,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,context-switches,cycles,emulation-faults,ext4:ext4_alloc_da_blocks,ext4:ext4_allocate_blocks,ext4:ext4_allocate_inode,ext4:ext4_begin_ordered_truncate,ext4:ext4_collapse_range,ext4:ext4_da_release_space,ext4:ext4_da_reserve_space,ext4:ext4_da_update_reserve_space,ext4:ext4_da_write_begin,ext4:ext4_da_write_end,ext4:ext4_da_write_pages,ext4:ext4_da_write_pages_extent,ext4:ext4_direct_IO_enter,ext4:ext4_direct_IO_exit,ext4:ext4_discard_blocks,ext4:ext4_discard_preallocations,ext4:ext4_drop_inode,ext4:ext4_es_cache_extent,ext4:ext4_es_find_delayed_extent_range_enter,ext4:ext4_es_find_delayed_extent_range_exit,ext4:ext4_es_insert_extent,ext4:ext4_es_lookup_extent_enter,ext4:ext4_es_lookup_extent_exit,ext4:ext4_es_remove_extent,ext4:ext4_es_shrink,ext4:ext4_es_shrink_count,ext4:ext4_es_shrink_scan_enter,ext4:ext4_es_shrink_scan_exit,ext4:ext4_evict_inode,ext4:ext4_ext_convert_to_initialized_enter,ext4:ext4_ext_convert_to_initialized_fastpath,ext4:ext4_ext_handle_unwritten_extents,ext4:ext4_ext_in_cache,ext4:ext4_ext_load_extent,ext4:ext4_ext_map_blocks_enter,ext4:ext4_ext_map_blocks_exit,ext4:ext4_ext_put_in_cache,ext4:ext4_ext_remove_space,ext4:ext4_ext_remove_space_done,ext4:ext4_ext_rm_idx,ext4:ext4_ext_rm_leaf,ext4:ext4_ext_show_extent,ext4:ext4_fallocate_enter,ext4:ext4_fallocate_exit,ext4:ext4_find_delalloc_range,ext4:ext4_forget,ext4:ext4_free_blocks,ext4:ext4_free_inode,ext4:ext4_get_implied_cluster_alloc_exit,ext4:ext4_get_reserved_cluster_alloc,ext4:ext4_ind_map_blocks_enter,ext4:ext4_ind_map_blocks_exit,ext4:ext4_insert_range,ext4:ext4_invalidatepage,ext4:ext4_journal_start,ext4:ext4_journal_start_reserved,ext4:ext4_journalled_invalidatepage,ext4:ext4_journalled_write_end,ext4:ext4_load_inode,ext4:ext4_load_inode_bitmap,ext4:ext4_mark_inode_dirty,ext4:ext4_mb_bitmap_load,ext4:ext4_mb_buddy_bitmap_load,ext4:ext4_mb_discard_preallocations,ext4:ext4_mb_new_group_pa,ext4:ext4_mb_new_inode_pa,ext4:ext4_mb_release_group_pa,ext4:ext4_mb_release_inode_pa,ext4:ext4_mballoc_alloc,ext4:ext4_mballoc_discard,ext4:ext4_mballoc_free,ext4:ext4_mballoc_prealloc,ext4:ext4_other_inode_update_time,ext4:ext4_punch_hole,ext4:ext4_read_block_bitmap_load,ext4:ext4_readpage,ext4:ext4_releasepage,ext4:ext4_remove_blocks,ext4:ext4_request_blocks,ext4:ext4_request_inode,ext4:ext4_sync_file_enter,ext4:ext4_sync_file_exit,ext4:ext4_sync_fs,ext4:ext4_trim_all_free,ext4:ext4_trim_extent,ext4:ext4_truncate_enter,ext4:ext4_truncate_exit,ext4:ext4_unlink_enter,ext4:ext4_unlink_exit,ext4:ext4_write_begin,ext4:ext4_write_end,ext4:ext4_writepage,ext4:ext4_writepages,ext4:ext4_writepages_result,ext4:ext4_zero_range,instructions,irq:irq_handler_entry,irq:irq_handler_exit,irq:softirq_entry,irq:softirq_exit,irq:softirq_raise,major-faults,migrations,minor-faults,raw_syscalls:sys_enter,raw_syscalls:sys_exit,sched:sched_blocked_reason,sched:sched_cpu_hotplug,sched:sched_kthread_stop,sched:sched_kthread_stop_ret,sched:sched_migrate_task,sched:sched_move_numa,sched:sched_pi_setprio,sched:sched_process_exec,sched:sched_process_exit,sched:sched_process_fork,sched:sched_process_free,sched:sched_process_wait,sched:sched_stat_blocked,sched:sched_stat_iowait,sched:sched_stat_runtime,sched:sched_stat_sleep,sched:sched_stat_wait,sched:sched_stick_numa,sched:sched_swap_numa,sched:sched_switch,sched:sched_wait_task,sched:sched_wake_idle_without_ipi,sched:sched_wakeup,sched:sched_wakeup_new,sched:sched_waking
0,1,0,1,1,2035200,1,854250000,1,204000000,22.4358100891,621982,70632,265850,39822.3140496,40628.0991736,42161.1570248,71,25,64,896,5000,0,25,1000000,950000,1,0,0,10,0,0,0,100,"532,624,853","4,247,994,657","4,240,102,731",0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,30,1,"113,677,202","2,364,392,718","114,424,591","515,211,466","4,271,665,150","24,930","81,396,286,287",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,3,50,50,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,"8,886,555,949","15,190","15,190","30,837","30,837","31,538",0,"4,399","352,327","128,998","127,524","1,165",0,0,0,"4,204",0,0,"1,465","1,475","1,474",613,"1,463","9,322,097,024","9,088,160","43,802,371,392","1,486,555,582,976","11,108,283,872",0,0,"24,930",0,0,"33,816","2,948","36,286"
0,1,0,1,1,2035200,1,854250000,1,204000000,0.387814044952,12882,1676,4800,39500.0,40500.0,42000.0,84,25,64,896,5000,0,25,1000000,950000,1,0,0,10,0,0,0,100,"25,334,950","662,794,336","631,048,148",0,0,0,0,0,2,2,1,2,2,0,0,2,0,0,0,0,0,128,2,"17,171,917","283,287,955","17,497,504","27,486,117","700,728,063",916,"5,728,969,118",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,4,165,165,1,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,"1,462,511,078","1,102","1,102","2,214","2,214","2,244",1,115,"23,208","22,500","22,459",64,0,0,0,133,0,0,37,42,41,11,35,"163,325,856","1,870,624","3,352,110,880","305,050,881,408","328,682,624",0,0,916,0,0,"1,234",82,"1,539"
0,1,0,1,1,2035200,1,854250000,1,204000000,0.387058019638,12424,1676,4419,39500.0,40500.0,41500.0,84,25,64,896,5000,0,25,1000000,950000,1,0,0,10,0,0,0,100,"27,015,875","667,465,923","627,958,308",0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,59,1,"16,955,397","288,294,639","17,081,940","27,346,226","680,806,074",831,"5,588,166,283",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,3,78,78,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,"1,456,659,966","1,017","1,017","2,254","2,254","2,284",0,118,"22,953","22,517","22,476",65,0,0,0,152,0,0,37,42,41,9,35,"381,685,760",0,"3,293,698,304","46,372,671,904","181,946,112",0,0,831,0,0,"1,177",82,"1,498"
0,1,0,1,1,2035200,1,854250000,1,204000000,0.396932125092,12577,1676,4800,39500.0,40333.3333333,41500.0,84,25,64,896,5000,0,25,1000000,950000,1,0,0,10,0,0,0,100,"29,593,256","668,102,202","655,559,432",0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,36,1,"17,197,997","298,043,346","17,068,810","30,340,430","696,926,437",878,"5,738,627,019",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,3,50,50,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,"1,463,519,441","1,030","1,030","2,297","2,297","2,327",0,140,"24,566","22,759","22,711",59,0,0,0,151,0,0,43,49,48,12,41,"137,669,376",0,"3,355,119,936","30,587,802,112","344,922,304",0,0,878,0,0,"1,122",96,"1,439"
0,1,0,1,1,2035200,1,854250000,1,204000000,0.385886907578,12348,1599,4496,39500.0,40500.0,41750.0,87,25,64,896,5000,0,25,1000000,950000,1,1,0,10,0,0,0,100,"26,158,946","654,126,527","631,637,711",0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,35,1,"16,956,172","290,452,355","17,175,787","26,704,085","676,718,210",881,"5,553,718,971",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,3,50,50,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,"1,482,986,046",984,984,"2,154","2,154","2,187",0,104,"23,474","22,609","22,568",56,0,0,0,123,0,0,37,42,41,9,35,"362,965,024","2,019,328","3,244,923,392","41,416,696,960","215,356,416",0,0,881,0,0,"1,184",82,"1,550"
0,1,0,1,1,2035200,1,854250000,1,204000000,0.411750078201,12348,1522,4420,39250.0,40500.0,41500.0,87,25,64,896,5000,0,25,1000000,950000,1,1,0,10,0,0,0,100,"26,698,587","654,898,128","611,402,953",0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,33,1,"16,748,732","277,239,089","17,002,424","27,802,997","694,341,793",849,"5,599,543,470",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,3,50,50,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,10,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,"1,470,225,753","1,072","1,072","2,168","2,168","2,193",0,129,"23,472","22,458","22,417",75,0,0,0,160,0,0,37,42,41,8,35,"250,248,256",0,"3,293,254,272","25,971,779,104","271,669,472",0,0,849,0,0,"1,222",82,"1,503"
0,1,0,1,1,2035200,1,854250000,1,204000000,0.395846128464,12462,1599,4572,39250.0,40250.0,41500.0,87,25,64,896,5000,0,25,1000000,950000,1,1,0,10,0,0,0,100,"25,926,470","678,421,661","646,172,658",0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,34,1,"17,410,304","284,493,187","17,137,955","26,779,184","676,493,890",852,"5,636,478,493",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,3,50,50,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,"1,437,261,191",982,982,"2,162","2,162","2,183",0,108,"23,259","22,524","22,483",54,0,0,0,119,0,0,37,42,41,13,35,"167,024,960","2,034,496","3,283,665,504","30,523,757,536","298,711,584",0,0,852,0,0,"1,132",82,"1,374"
0,1,0,1,1,2035200,1,854250000,1,204000000,0.405923843384,12348,1522,4572,39562.5,40125.0,41375.0,81,25,64,896,5000,0,25,1000000,950000,1,0,0,10,0,0,0,500,"29,606,942","693,228,186","670,253,613",0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,35,1,"17,184,961","312,291,079","16,897,220","31,225,278","710,596,183","1,076","6,009,581,193",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,3,50,50,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,"1,499,519,280","1,154","1,154","2,442","2,442","2,470",0,145,"25,867","23,461","23,407",57,0,0,0,174,0,0,49,55,54,16,47,"152,221,152",0,"3,596,644,320","35,339,883,936","274,825,120",0,0,"1,076",0,0,"1,502",108,"1,862"
0,1,0,1,1,2035200,1,854250000,1,204000000,0.394665956497,8080,990,3124,39375.0,40500.0,41750.0,81,25,64,896,5000,0,25,1000000,950000,1,0,0,10,0,0,0,500,"23,849,983","653,303,874","603,440,907",0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,31,1,"16,125,094","264,363,465","16,306,613","25,438,494","671,743,047",844,"5,302,531,292",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,3,50,50,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,"1,444,191,705","1,006","1,006","2,125","2,125","2,156",0,80,"21,267","22,021","21,987",47,0,0,0,108,0,0,31,35,34,12,29,"142,159,392","1,920,000","3,142,829,280","29,693,848,576","276,517,216",0,0,844,0,0,"1,062",68,"1,265"
0,1,0,1,1,2035200,1,854250000,1,204000000,0.403562068939,12465,1676,4572,39500.0,40500.0,41500.0,81,25,64,896,5000,0,25,1000000,950000,1,0,0,10,0,0,0,500,"26,330,435","678,419,218","643,314,474",0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,35,1,"16,950,522","280,476,178","16,624,269","27,350,419","695,696,751",932,"5,668,286,362",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,3,50,50,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,10,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,"1,491,125,662","1,050","1,050","2,218","2,218","2,254",0,111,"23,762","22,602","22,561",75,0,0,0,119,0,0,37,42,41,13,35,"183,149,408",0,"3,378,984,544","31,392,126,720","237,297,920",0,0,932,0,0,"1,245",82,"1,566"
