,core0_status,core1_status,core2_status,core3_status,core_freq,gpu_status,gpu_freq,emc_status,emc_freq,inference_time,total_energy_consumption,gpu_energy_consumption,cpu_energy_consumption,total_temp,gpu_temp,cpu_temp,cpu_utilization,kernel.cpu_time_max_percent,kernel.random.read_wakeup_threshold,kernel.random.write_wakeup_threshold,kernel.sched_cfs_bandwith_slice_us,kernel.sched_child_runs_first,kernel.sched_rr_timeslice_ms,kernel.sched_rt_period_us,kernel.sched_rt_runtime_us,kernel.timer_migration,scheduler.policy,vm.dirty_background_bytes,vm.dirty_background_ratio,vm.dirty_bytes,vm.drop_caches,vm.swappiness,vm.vfs_cache_pressure,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,alignment-faults,block:block_bio_backmerge,block:block_bio_bounce,block:block_bio_complete,block:block_bio_frontmerge,block:block_bio_queue,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_plug,block:block_rq_abort,block:block_rq_complete,block:block_rq_insert,block:block_rq_issue,block:block_rq_remap,block:block_rq_requeue,block:block_sleeprq,block:block_split,block:block_touch_buffer,block:block_unplug,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,context-switches,cycles,emulation-faults,ext4:ext4_alloc_da_blocks,ext4:ext4_allocate_blocks,ext4:ext4_allocate_inode,ext4:ext4_begin_ordered_truncate,ext4:ext4_collapse_range,ext4:ext4_da_release_space,ext4:ext4_da_reserve_space,ext4:ext4_da_update_reserve_space,ext4:ext4_da_write_begin,ext4:ext4_da_write_end,ext4:ext4_da_write_pages,ext4:ext4_da_write_pages_extent,ext4:ext4_direct_IO_enter,ext4:ext4_direct_IO_exit,ext4:ext4_discard_blocks,ext4:ext4_discard_preallocations,ext4:ext4_drop_inode,ext4:ext4_es_cache_extent,ext4:ext4_es_find_delayed_extent_range_enter,ext4:ext4_es_find_delayed_extent_range_exit,ext4:ext4_es_insert_extent,ext4:ext4_es_lookup_extent_enter,ext4:ext4_es_lookup_extent_exit,ext4:ext4_es_remove_extent,ext4:ext4_es_shrink,ext4:ext4_es_shrink_count,ext4:ext4_es_shrink_scan_enter,ext4:ext4_es_shrink_scan_exit,ext4:ext4_evict_inode,ext4:ext4_ext_convert_to_initialized_enter,ext4:ext4_ext_convert_to_initialized_fastpath,ext4:ext4_ext_handle_unwritten_extents,ext4:ext4_ext_in_cache,ext4:ext4_ext_load_extent,ext4:ext4_ext_map_blocks_enter,ext4:ext4_ext_map_blocks_exit,ext4:ext4_ext_put_in_cache,ext4:ext4_ext_remove_space,ext4:ext4_ext_remove_space_done,ext4:ext4_ext_rm_idx,ext4:ext4_ext_rm_leaf,ext4:ext4_ext_show_extent,ext4:ext4_fallocate_enter,ext4:ext4_fallocate_exit,ext4:ext4_find_delalloc_range,ext4:ext4_forget,ext4:ext4_free_blocks,ext4:ext4_free_inode,ext4:ext4_get_implied_cluster_alloc_exit,ext4:ext4_get_reserved_cluster_alloc,ext4:ext4_ind_map_blocks_enter,ext4:ext4_ind_map_blocks_exit,ext4:ext4_insert_range,ext4:ext4_invalidatepage,ext4:ext4_journal_start,ext4:ext4_journal_start_reserved,ext4:ext4_journalled_invalidatepage,ext4:ext4_journalled_write_end,ext4:ext4_load_inode,ext4:ext4_load_inode_bitmap,ext4:ext4_mark_inode_dirty,ext4:ext4_mb_bitmap_load,ext4:ext4_mb_buddy_bitmap_load,ext4:ext4_mb_discard_preallocations,ext4:ext4_mb_new_group_pa,ext4:ext4_mb_new_inode_pa,ext4:ext4_mb_release_group_pa,ext4:ext4_mb_release_inode_pa,ext4:ext4_mballoc_alloc,ext4:ext4_mballoc_discard,ext4:ext4_mballoc_free,ext4:ext4_mballoc_prealloc,ext4:ext4_other_inode_update_time,ext4:ext4_punch_hole,ext4:ext4_read_block_bitmap_load,ext4:ext4_readpage,ext4:ext4_releasepage,ext4:ext4_remove_blocks,ext4:ext4_request_blocks,ext4:ext4_request_inode,ext4:ext4_sync_file_enter,ext4:ext4_sync_file_exit,ext4:ext4_sync_fs,ext4:ext4_trim_all_free,ext4:ext4_trim_extent,ext4:ext4_truncate_enter,ext4:ext4_truncate_exit,ext4:ext4_unlink_enter,ext4:ext4_unlink_exit,ext4:ext4_write_begin,ext4:ext4_write_end,ext4:ext4_writepage,ext4:ext4_writepages,ext4:ext4_writepages_result,ext4:ext4_zero_range,instructions,irq:irq_handler_entry,irq:irq_handler_exit,irq:softirq_entry,irq:softirq_exit,irq:softirq_raise,major-faults,migrations,minor-faults,raw_syscalls:sys_enter,raw_syscalls:sys_exit,sched:sched_blocked_reason,sched:sched_cpu_hotplug,sched:sched_kthread_stop,sched:sched_kthread_stop_ret,sched:sched_migrate_task,sched:sched_move_numa,sched:sched_pi_setprio,sched:sched_process_exec,sched:sched_process_exit,sched:sched_process_fork,sched:sched_process_free,sched:sched_process_wait,sched:sched_stat_blocked,sched:sched_stat_iowait,sched:sched_stat_runtime,sched:sched_stat_sleep,sched:sched_stat_wait,sched:sched_stick_numa,sched:sched_swap_numa,sched:sched_switch,sched:sched_wait_task,sched:sched_wake_idle_without_ipi,sched:sched_wakeup,sched:sched_wakeup_new,sched:sched_waking
0,1,0,1,1,2035200,1,854250000,1,204000000,0.394489049911,18255,1903,6095,38083.3333333,38833.3333333,40500.0,91,25,64,896,5000,0,25,1000000,950000,1,0,0,10,0,0,0,100,"31,752,618","702,897,546","676,380,539",0,0,0,0,0,9,9,1,9,9,0,0,9,0,0,0,0,0,32,9,"17,914,376","309,335,044","18,352,961","30,436,586","723,275,228","1,026","6,239,062,348",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,11,58,58,1,0,0,0,0,0,0,0,0,0,0,10,10,0,1,1,0,1,8,0,0,0,0,1,0,0,1,0,0,0,1,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,"1,501,147,997","1,161","1,161","2,439","2,439","2,469",0,131,"25,606","23,190","23,136",108,0,0,0,154,0,0,49,55,54,19,47,"491,944,992","10,434,912","3,723,634,464","39,890,505,632","332,235,968",0,0,"1,026",0,0,"1,409",108,"1,711"
0,1,0,1,1,2035200,1,854250000,1,204000000,0.401699066162,8156,913,3580,38250.0,39250.0,41000.0,100,25,64,896,5000,0,25,1000000,950000,1,0,0,10,0,0,0,100,"24,723,534","672,822,928","627,678,844",0,0,0,0,0,4,4,1,4,4,0,0,4,0,0,0,0,0,34,4,"17,348,248","279,256,702","17,555,617","26,583,981","710,703,014",942,"5,787,881,617",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,6,53,53,1,0,0,0,0,0,0,0,0,0,0,5,5,0,1,1,0,1,3,0,0,0,0,1,0,0,1,0,0,0,1,12,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,"1,464,897,256","1,092","1,092","2,146","2,146","2,171",0,79,"21,250","22,230","22,196",39,0,0,0,108,0,0,31,35,34,11,29,"43,770,016","2,804,768","3,278,140,992","56,804,599,328","409,997,600",0,0,942,0,0,"1,202",68,"1,490"
0,1,0,1,1,2035200,1,854250000,1,204000000,0.400891065598,12349,1447,4572,38125.0,39500.0,40750.0,100,25,64,896,5000,0,25,1000000,950000,1,0,0,10,0,0,0,100,"27,666,411","661,844,394","641,192,672",0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,32,1,"17,672,660","290,947,025","17,815,398","26,332,755","697,966,478",913,"5,884,400,033",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,3,50,50,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,10,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,"1,461,251,677","1,063","1,063","2,259","2,259","2,292",0,114,"23,314","22,571","22,530",72,0,0,0,156,0,0,37,42,41,12,35,"348,180,480","316,576","3,397,104,992","48,293,331,200","350,709,664",0,0,913,0,0,"1,337",82,"1,521"
0,1,0,1,1,2035200,1,854250000,1,204000000,0.394236803055,12615,1599,4724,38333.3333333,39333.3333333,40500.0,100,25,64,896,5000,0,25,1000000,950000,1,0,0,10,0,0,0,100,"29,235,216","693,668,565","679,179,851",0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,33,1,"18,524,293","315,994,935","18,108,979","29,345,895","724,957,564",985,"6,033,175,915",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,3,50,50,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,10,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,"1,503,798,754","1,123","1,123","2,402","2,402","2,432",0,116,"24,969","22,909","22,862",85,0,0,0,146,0,0,43,48,47,17,41,"348,139,616",0,"3,577,717,888","42,676,367,680","317,487,072",0,0,985,0,0,"1,340",94,"1,643"
0,1,0,1,1,2035200,1,854250000,1,204000000,0.400619983673,12236,1446,4648,38416.6666667,39166.6666667,40500.0,97,25,64,896,5000,0,25,1000000,950000,1,1,0,10,0,0,0,100,"28,133,473","681,767,507","655,683,827",0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,35,1,"17,364,121","296,291,888","17,318,269","29,955,340","713,761,136","1,020","6,040,739,920",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,3,50,50,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,"1,464,621,829","1,192","1,192","2,351","2,351","2,387",0,136,"24,845","22,993","22,945",74,0,0,0,165,0,0,43,49,48,17,41,"169,050,912",0,"3,534,400,384","43,051,058,176","365,618,752",0,0,"1,020",0,0,"1,440",96,"1,703"
0,1,0,1,1,2035200,1,854250000,1,204000000,0.388095855713,12272,1523,4420,38375.0,39500.0,40500.0,97,25,64,896,5000,0,25,1000000,950000,1,1,0,10,0,0,0,100,"27,837,540","668,223,499","654,222,507",0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,34,1,"17,508,679","292,749,424","17,513,631","27,901,854","705,302,819",917,"5,620,278,998",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,3,50,50,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,10,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,"1,472,748,578","1,075","1,075","2,228","2,228","2,255",0,124,"23,456","22,491","22,450",52,0,0,0,147,0,0,37,42,41,9,35,"147,770,592",0,"3,376,296,960","45,344,154,112","193,194,560",0,0,917,0,0,"1,231",82,"1,517"
0,1,0,1,1,2035200,1,854250000,1,204000000,0.393267154694,12425,1676,4496,38250.0,39250.0,40750.0,97,25,64,896,5000,0,25,1000000,950000,1,1,0,10,0,0,0,100,"26,881,408","674,655,507","643,785,477",0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,32,1,"17,067,927","291,286,511","16,867,440","28,176,786","710,964,309",890,"5,804,545,089",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,3,50,50,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,"1,461,026,673","1,017","1,017","2,329","2,329","2,356",0,115,"23,727","22,680","22,639",48,0,0,0,126,0,0,37,42,41,13,35,"267,027,680",0,"3,459,384,320","42,543,508,640","263,336,736",0,0,890,0,0,"1,210",82,"1,547"
0,1,0,1,1,2035200,1,854250000,1,204000000,0.393348932266,12387,1522,4572,38375.0,39500.0,40500.0,92,25,64,896,5000,0,25,1000000,950000,1,0,0,10,0,0,0,500,"26,061,322","681,203,527","645,300,959",0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,33,1,"17,419,272","286,161,679","17,547,932","28,585,701","706,080,230",941,"5,780,286,999",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,3,50,50,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,10,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,"1,455,220,127","1,092","1,092","2,262","2,262","2,295",0,109,"23,493","22,486","22,445",60,0,0,0,129,0,0,37,42,41,16,35,"156,457,408",0,"3,357,896,832","41,637,714,560","357,475,456",0,0,941,0,0,"1,309",82,"1,564"
0,1,0,1,1,2035200,1,854250000,1,204000000,0.389395952225,12198,1522,4420,38375.0,39250.0,40500.0,92,25,64,896,5000,0,25,1000000,950000,1,0,0,10,0,0,0,500,"26,332,221","664,142,466","637,112,747",0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,36,1,"17,191,043","286,940,596","17,092,052","28,593,871","691,057,692",826,"5,676,137,257",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,3,50,50,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,"1,437,971,684",989,989,"2,227","2,227","2,253",0,90,"23,294","22,494","22,453",101,0,0,0,128,0,0,37,42,41,14,35,"336,970,912",0,"3,323,111,616","41,373,427,296","217,682,784",0,0,826,0,0,"1,186",82,"1,466"
0,1,0,1,1,2035200,1,854250000,1,204000000,0.393995046616,12501,1446,4724,38583.3333333,39333.3333333,40666.6666667,92,25,64,896,5000,0,25,1000000,950000,1,0,0,10,0,0,0,500,"29,288,433","697,358,110","672,804,695",0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,36,1,"17,001,926","301,065,794","17,245,794","28,938,634","735,274,982","1,000","6,059,384,165",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,3,50,50,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,"1,520,911,755","1,064","1,064","2,370","2,370","2,398",0,133,"25,240","23,131","23,083",78,0,0,0,146,0,0,43,49,48,16,41,"282,280,768","359,104","3,518,415,680","37,003,985,728","346,671,072",0,0,"1,000",0,0,"1,412",96,"1,740"
