,core0_status,core1_status,core2_status,core3_status,core_freq,gpu_status,gpu_freq,emc_status,emc_freq,inference_time,energy_consumption,kernel.cpu_time_max_percent,kernel.random.read_wakeup_threshold,kernel.random.write_wakeup_threshold,kernel.sched_cfs_bandwith_slice_us,kernel.sched_child_runs_first,kernel.sched_rr_timeslice_ms,kernel.sched_rt_period_us,kernel.sched_rt_runtime_us,kernel.timer_migration,vm.block_dump,vm.compact_unevictable_allowed,vm.dirty_background_bytes,vm.dirty_background_ratio,vm.dirty_bytes,vm.dirty_expire_centisecs,vm.dirty_ratio,vm.dirty_writeback_centisecs,vm.dirtytime_expire_seconds,vm.drop_caches,vm.extfrag_threshold,vm.extra_free_kbytes,vm.lazy_vfree_pages,vm.lazy_vfree_tlb_flush_all_threshold,vm.max_map_count,vm.min_free_kbytes,vm.mmap_min_addr,vm.nr_pdflush_threads,vm.oom_dump_tasks,vm.oom_kill_allocating_task,vm.overcommit_kbytes,vm.overcommit_memory,vm.overcommit_ratio,vm.page-cluster,vm.percpu_pagelist_fraction,vm.stat_interval,vm.swappiness,vm.user_reserve_kbytes,vm.vfs_cache_pressure,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,alignment-faults,block:block_bio_backmerge,block:block_bio_bounce,block:block_bio_complete,block:block_bio_frontmerge,block:block_bio_queue,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_plug,block:block_rq_abort,block:block_rq_complete,block:block_rq_insert,block:block_rq_issue,block:block_rq_remap,block:block_rq_requeue,block:block_sleeprq,block:block_split,block:block_touch_buffer,block:block_unplug,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,context-switches,cycles,emulation-faults,ext4:ext4_alloc_da_blocks,ext4:ext4_allocate_blocks,ext4:ext4_allocate_inode,ext4:ext4_begin_ordered_truncate,ext4:ext4_collapse_range,ext4:ext4_da_release_space,ext4:ext4_da_reserve_space,ext4:ext4_da_update_reserve_space,ext4:ext4_da_write_begin,ext4:ext4_da_write_end,ext4:ext4_da_write_pages,ext4:ext4_da_write_pages_extent,ext4:ext4_direct_IO_enter,ext4:ext4_direct_IO_exit,ext4:ext4_discard_blocks,ext4:ext4_discard_preallocations,ext4:ext4_drop_inode,ext4:ext4_es_cache_extent,ext4:ext4_es_find_delayed_extent_range_enter,ext4:ext4_es_find_delayed_extent_range_exit,ext4:ext4_es_insert_extent,ext4:ext4_es_lookup_extent_enter,ext4:ext4_es_lookup_extent_exit,ext4:ext4_es_remove_extent,ext4:ext4_es_shrink,ext4:ext4_es_shrink_count,ext4:ext4_es_shrink_scan_enter,ext4:ext4_es_shrink_scan_exit,ext4:ext4_evict_inode,ext4:ext4_ext_convert_to_initialized_enter,ext4:ext4_ext_convert_to_initialized_fastpath,ext4:ext4_ext_handle_unwritten_extents,ext4:ext4_ext_in_cache,ext4:ext4_ext_load_extent,ext4:ext4_ext_map_blocks_enter,ext4:ext4_ext_map_blocks_exit,ext4:ext4_ext_put_in_cache,ext4:ext4_ext_remove_space,ext4:ext4_ext_remove_space_done,ext4:ext4_ext_rm_idx,ext4:ext4_ext_rm_leaf,ext4:ext4_ext_show_extent,ext4:ext4_fallocate_enter,ext4:ext4_fallocate_exit,ext4:ext4_find_delalloc_range,ext4:ext4_forget,ext4:ext4_free_blocks,ext4:ext4_free_inode,ext4:ext4_get_implied_cluster_alloc_exit,ext4:ext4_get_reserved_cluster_alloc,ext4:ext4_ind_map_blocks_enter,ext4:ext4_ind_map_blocks_exit,ext4:ext4_insert_range,ext4:ext4_invalidatepage,ext4:ext4_journal_start,ext4:ext4_journal_start_reserved,ext4:ext4_journalled_invalidatepage,ext4:ext4_journalled_write_end,ext4:ext4_load_inode,ext4:ext4_load_inode_bitmap,ext4:ext4_mark_inode_dirty,ext4:ext4_mb_bitmap_load,ext4:ext4_mb_buddy_bitmap_load,ext4:ext4_mb_discard_preallocations,ext4:ext4_mb_new_group_pa,ext4:ext4_mb_new_inode_pa,ext4:ext4_mb_release_group_pa,ext4:ext4_mb_release_inode_pa,ext4:ext4_mballoc_alloc,ext4:ext4_mballoc_discard,ext4:ext4_mballoc_free,ext4:ext4_mballoc_prealloc,ext4:ext4_other_inode_update_time,ext4:ext4_punch_hole,ext4:ext4_read_block_bitmap_load,ext4:ext4_readpage,ext4:ext4_releasepage,ext4:ext4_remove_blocks,ext4:ext4_request_blocks,ext4:ext4_request_inode,ext4:ext4_sync_file_enter,ext4:ext4_sync_file_exit,ext4:ext4_sync_fs,ext4:ext4_trim_all_free,ext4:ext4_trim_extent,ext4:ext4_truncate_enter,ext4:ext4_truncate_exit,ext4:ext4_unlink_enter,ext4:ext4_unlink_exit,ext4:ext4_write_begin,ext4:ext4_write_end,ext4:ext4_writepage,ext4:ext4_writepages,ext4:ext4_writepages_result,ext4:ext4_zero_range,major-faults,migrations,minor-faults,page-faults,sched:sched_blocked_reason,sched:sched_cpu_hotplug,sched:sched_kthread_stop,sched:sched_kthread_stop_ret,sched:sched_migrate_task,sched:sched_move_numa,sched:sched_pi_setprio,sched:sched_process_exec,sched:sched_process_exit,sched:sched_process_fork,sched:sched_process_free,sched:sched_process_wait,sched:sched_stat_blocked,sched:sched_stat_iowait,sched:sched_stat_runtime,sched:sched_stat_sleep,sched:sched_stat_wait,sched:sched_stick_numa,sched:sched_swap_numa,sched:sched_switch,sched:sched_wait_task,sched:sched_wake_idle_without_ipi,sched:sched_wakeup,sched:sched_wakeup_new,sched:sched_waking
0,1,1,1,0,1267200,1,318750000,1,1866000000,7.12264299393,53071,25,64,896,5000,0,25,1000000,950000,1,0,1,0,10,0,3000,20,500,43200,0,500,0,8192,536870912,65530,11337,32768,0,1,0,0,0,50,3,0,1,60,1310,100,"148,349,301","1,383,463,000","1,369,626,444",0,0,0,0,0,7,7,1,7,7,0,0,7,0,0,0,0,0,35,7,"30,960,376","714,058,492","30,549,747","150,173,815","1,366,293,450","8,569","6,619,887,163",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,9,56,56,1,1,10,1,1,0,0,0,0,0,0,8,8,0,1,1,0,1,6,0,0,0,0,1,0,0,1,0,0,0,0,11,0,0,0,0,0,12,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,938,"121,108","121,110",900,0,0,0,870,0,0,375,385,384,117,373,"1,246,929,824","5,344,064","8,849,537,952","1,868,688,808,224","667,980,320",0,0,"8,569",0,0,"11,874",768,"11,905"
0,1,1,1,1,1728000,1,318750000,1,1600000000,0.134705066681,1140,25,64,896,5000,0,25,1000000,950000,1,0,1,0,10,0,3000,20,500,43200,0,500,0,8192,536870912,65530,11337,32768,0,1,0,0,0,50,3,0,1,60,1310,100,"18,750,056","524,323,310","533,729,509",0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,33,1,"14,230,419","264,530,438","14,294,050","19,101,368","528,262,080",528,"2,149,292,663",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,11,60,60,1,0,0,0,0,0,0,0,0,0,0,10,10,0,1,1,0,1,8,0,0,0,0,1,0,0,1,0,0,0,1,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,65,"19,086","19,086",59,0,0,0,76,0,0,17,22,21,6,15,"116,426,560",0,"1,393,128,256","43,764,809,216","59,724,288",0,0,528,0,0,751,42,865
0,1,1,1,1,1728000,1,318750000,1,1600000000,0.117226839066,1216,25,64,896,5000,0,25,1000000,950000,1,0,1,0,10,0,3000,20,500,43200,0,500,0,8192,536870912,65530,11337,32768,0,1,0,0,0,50,3,0,1,60,1310,100,"20,483,889","530,418,693","529,188,280",0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,33,1,"14,300,383","259,754,285","14,292,680","19,803,322","535,456,227",571,"2,203,716,309",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,5,53,53,1,0,0,0,0,0,0,0,0,0,0,4,4,0,1,1,0,1,2,0,0,0,0,1,0,0,1,0,0,0,1,10,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,71,"19,469","19,469",25,0,0,0,80,0,0,19,25,24,6,17,"108,470,592",0,"1,275,593,984","16,622,173,376","51,387,104",0,0,571,0,0,797,48,878
0,1,1,1,1,1728000,1,318750000,1,1600000000,0.117226839066,1216,25,64,896,5000,0,25,1000000,950000,1,0,1,0,10,0,3000,20,500,43200,0,500,0,8192,536870912,65530,11337,32768,0,1,0,0,0,50,3,0,1,60,1310,100,"11,465,384","443,257,065","439,035,345",0,0,0,0,0,6,6,0,6,6,0,0,6,0,0,0,0,0,21,6,"12,105,185","213,166,430","11,983,931","11,309,585","437,726,437",175,"1,724,392,568",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,54,54,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"13,374","13,374",21,0,0,0,5,0,0,5,5,4,2,3,"11,477,344","3,057,216","964,122,944","4,310,905,216","21,007,328",0,0,175,0,0,183,8,237
0,1,1,1,1,1728000,1,318750000,1,1600000000,0.117226839066,1216,25,64,896,5000,0,25,1000000,950000,1,0,1,0,10,0,3000,20,500,43200,0,500,0,8192,536870912,65530,11337,32768,0,1,0,0,0,50,3,0,1,60,1310,100,"11,465,384","443,257,065","439,035,345",0,0,0,0,0,6,6,0,6,6,0,0,6,0,0,0,0,0,21,6,"12,105,185","213,166,430","11,983,931","11,309,585","437,726,437",175,"1,724,392,568",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,54,54,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"13,374","13,374",21,0,0,0,5,0,0,5,5,4,2,3,"11,477,344","3,057,216","964,122,944","4,310,905,216","21,007,328",0,0,175,0,0,183,8,237
0,1,1,1,1,1728000,1,318750000,1,1600000000,0.117226839066,1216,25,64,896,5000,0,25,1000000,950000,1,0,1,0,10,0,3000,20,500,43200,0,500,0,8192,536870912,65530,11337,32768,0,1,0,0,0,50,3,0,1,60,1310,100,"3,903,949","179,175,176","179,714,019",0,0,0,0,0,3,3,0,3,3,0,0,3,0,0,0,0,0,19,3,"4,723,703","87,946,693","4,800,694","3,884,137","179,674,878",23,"679,535,853",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,51,51,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"3,022","3,022",2,0,0,0,0,0,0,1,1,0,0,0,"2,054,976","1,920,576","357,696,960","13,037,202,208","2,541,664",0,0,23,0,0,27,0,64
0,1,0,0,0,1113600,1,765000000,1,102000000,0.384598016739,2053,25,64,896,5000,0,25,1000000,950000,1,0,1,0,10,0,3000,20,500,43200,0,500,0,8192,536870912,65530,11337,32768,0,1,0,0,0,50,3,0,1,60,1310,100,"21,753,980","641,012,213","632,869,692",0,0,0,0,0,2,2,1,2,1,0,0,2,0,0,0,0,0,33,1,"17,401,593","272,807,459","17,787,631","22,180,171","653,264,115","1,035","7,908,252,989",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,7,60,60,1,0,0,0,0,0,0,0,0,0,0,6,6,0,1,1,0,1,4,0,0,0,0,1,0,0,1,0,0,0,1,12,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,63,"20,600","20,600",50,0,0,0,60,0,0,23,26,25,5,21,"317,867,840","2,551,744","4,626,036,224","283,716,220,896","816,251,808",0,0,"1,035",0,0,"1,195",50,"1,532"
0,1,0,0,0,1113600,1,765000000,1,102000000,0.369402885437,2890,25,64,896,5000,0,25,1000000,950000,1,0,1,0,10,0,3000,20,500,43200,0,500,0,8192,536870912,65530,11337,32768,0,1,0,0,0,50,3,0,1,60,1310,100,"22,782,242","657,423,334","649,761,066",0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,30,1,"18,068,410","278,404,874","18,005,949","22,588,816","666,147,853","1,171","8,322,603,496",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,3,50,50,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,93,"22,195","22,195",62,0,0,0,66,0,0,29,31,30,8,27,"256,078,848",0,"4,864,269,440","78,786,356,128","752,142,656",0,0,"1,171",0,0,"1,330",60,"1,697"
0,1,0,0,0,1113600,1,765000000,1,102000000,0.376344919205,1065,25,64,896,5000,0,25,1000000,950000,1,0,1,0,10,0,3000,20,500,43200,0,500,0,8192,536870912,65530,11337,32768,0,1,0,0,0,50,3,0,1,60,1310,100,"19,356,680","619,917,860","629,144,218",0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,32,1,"16,340,091","269,891,967","16,502,969","19,416,213","635,166,018","1,011","7,565,432,969",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,3,50,50,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,44,"17,932","17,932",19,0,0,0,38,0,0,15,16,15,5,13,"319,852,800",0,"4,197,435,200","33,919,033,216","520,667,872",0,0,"1,011",0,0,"1,177",30,"1,492"
0,1,0,0,0,1113600,1,765000000,1,102000000,0.389376878738,2358,25,64,896,5000,0,25,1000000,950000,1,0,1,0,10,0,3000,20,500,43200,0,500,0,8192,536870912,65530,11337,32768,0,1,0,0,0,50,3,0,1,60,1310,100,"22,286,131","653,970,058","653,761,400",0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,31,1,"16,847,044","275,624,827","16,868,041","22,429,719","643,405,800","1,048","8,056,626,431",0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,3,50,50,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,88,"21,008","21,008",46,0,0,0,69,0,0,25,28,27,9,23,"301,221,792","4,962,784","4,690,898,528","120,695,843,904","690,759,008",0,0,"1,048",0,0,"1,252",54,"1,657"
