,Unnamed: 0,Unnamed: 0.1,core0_status,core1_status,core2_status,core3_status,core_freq,gpu_status,gpu_freq,emc_status,emc_freq,inference_time,total_energy_consumption,gpu_energy_consumption,cpu_energy_consumption,total_temp,gpu_temp,cpu_temp,cpu_utilization,kernel.cpu_time_max_percent,kernel.random.read_wakeup_threshold,kernel.random.write_wakeup_threshold,kernel.sched_cfs_bandwith_slice_us,kernel.sched_child_runs_first,kernel.sched_rr_timeslice_ms,kernel.sched_rt_period_us,kernel.sched_rt_runtime_us,kernel.timer_migration,scheduler.policy,vm.dirty_background_bytes,vm.dirty_background_ratio,vm.dirty_bytes,vm.drop_caches,vm.swappiness,vm.vfs_cache_pressure,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,alignment-faults,block:block_bio_backmerge,block:block_bio_bounce,block:block_bio_complete,block:block_bio_frontmerge,block:block_bio_queue,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_plug,block:block_rq_abort,block:block_rq_complete,block:block_rq_insert,block:block_rq_issue,block:block_rq_remap,block:block_rq_requeue,block:block_sleeprq,block:block_split,block:block_touch_buffer,block:block_unplug,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,context-switches,cycles,emulation-faults,ext4:ext4_alloc_da_blocks,ext4:ext4_allocate_blocks,ext4:ext4_allocate_inode,ext4:ext4_begin_ordered_truncate,ext4:ext4_collapse_range,ext4:ext4_da_release_space,ext4:ext4_da_reserve_space,ext4:ext4_da_update_reserve_space,ext4:ext4_da_write_begin,ext4:ext4_da_write_end,ext4:ext4_da_write_pages,ext4:ext4_da_write_pages_extent,ext4:ext4_direct_IO_enter,ext4:ext4_direct_IO_exit,ext4:ext4_discard_blocks,ext4:ext4_discard_preallocations,ext4:ext4_drop_inode,ext4:ext4_es_cache_extent,ext4:ext4_es_find_delayed_extent_range_enter,ext4:ext4_es_find_delayed_extent_range_exit,ext4:ext4_es_insert_extent,ext4:ext4_es_lookup_extent_enter,ext4:ext4_es_lookup_extent_exit,ext4:ext4_es_remove_extent,ext4:ext4_es_shrink,ext4:ext4_es_shrink_count,ext4:ext4_es_shrink_scan_enter,ext4:ext4_es_shrink_scan_exit,ext4:ext4_evict_inode,ext4:ext4_ext_convert_to_initialized_enter,ext4:ext4_ext_convert_to_initialized_fastpath,ext4:ext4_ext_handle_unwritten_extents,ext4:ext4_ext_in_cache,ext4:ext4_ext_load_extent,ext4:ext4_ext_map_blocks_enter,ext4:ext4_ext_map_blocks_exit,ext4:ext4_ext_put_in_cache,ext4:ext4_ext_remove_space,ext4:ext4_ext_remove_space_done,ext4:ext4_ext_rm_idx,ext4:ext4_ext_rm_leaf,ext4:ext4_ext_show_extent,ext4:ext4_fallocate_enter,ext4:ext4_fallocate_exit,ext4:ext4_find_delalloc_range,ext4:ext4_forget,ext4:ext4_free_blocks,ext4:ext4_free_inode,ext4:ext4_get_implied_cluster_alloc_exit,ext4:ext4_get_reserved_cluster_alloc,ext4:ext4_ind_map_blocks_enter,ext4:ext4_ind_map_blocks_exit,ext4:ext4_insert_range,ext4:ext4_invalidatepage,ext4:ext4_journal_start,ext4:ext4_journal_start_reserved,ext4:ext4_journalled_invalidatepage,ext4:ext4_journalled_write_end,ext4:ext4_load_inode,ext4:ext4_load_inode_bitmap,ext4:ext4_mark_inode_dirty,ext4:ext4_mb_bitmap_load,ext4:ext4_mb_buddy_bitmap_load,ext4:ext4_mb_discard_preallocations,ext4:ext4_mb_new_group_pa,ext4:ext4_mb_new_inode_pa,ext4:ext4_mb_release_group_pa,ext4:ext4_mb_release_inode_pa,ext4:ext4_mballoc_alloc,ext4:ext4_mballoc_discard,ext4:ext4_mballoc_free,ext4:ext4_mballoc_prealloc,ext4:ext4_other_inode_update_time,ext4:ext4_punch_hole,ext4:ext4_read_block_bitmap_load,ext4:ext4_readpage,ext4:ext4_releasepage,ext4:ext4_remove_blocks,ext4:ext4_request_blocks,ext4:ext4_request_inode,ext4:ext4_sync_file_enter,ext4:ext4_sync_file_exit,ext4:ext4_sync_fs,ext4:ext4_trim_all_free,ext4:ext4_trim_extent,ext4:ext4_truncate_enter,ext4:ext4_truncate_exit,ext4:ext4_unlink_enter,ext4:ext4_unlink_exit,ext4:ext4_write_begin,ext4:ext4_write_end,ext4:ext4_writepage,ext4:ext4_writepages,ext4:ext4_writepages_result,ext4:ext4_zero_range,instructions,irq:irq_handler_entry,irq:irq_handler_exit,irq:softirq_entry,irq:softirq_exit,irq:softirq_raise,major-faults,migrations,minor-faults,raw_syscalls:sys_enter,raw_syscalls:sys_exit,sched:sched_blocked_reason,sched:sched_cpu_hotplug,sched:sched_kthread_stop,sched:sched_kthread_stop_ret,sched:sched_migrate_task,sched:sched_move_numa,sched:sched_pi_setprio,sched:sched_process_exec,sched:sched_process_exit,sched:sched_process_fork,sched:sched_process_free,sched:sched_process_wait,sched:sched_stat_blocked,sched:sched_stat_iowait,sched:sched_stat_runtime,sched:sched_stat_sleep,sched:sched_stat_wait,sched:sched_stick_numa,sched:sched_swap_numa,sched:sched_switch,sched:sched_wait_task,sched:sched_wake_idle_without_ipi,sched:sched_wakeup,sched:sched_wakeup_new,sched:sched_waking
0,1.5,0.0,1.0,0.0,1.0,1.0,2035200.0,1.0,854250000.0,1.0,204000000.0,0.3978289961815,12843.75,1465.5,4742.75,38197.916666649995,39229.166666649995,40687.5,97.75,25.0,64.0,896.0,5000.0,0.0,25.0,1000000.0,950000.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,100.0,28344444.75,682808358.25,656107976.5,0.0,0.0,0.0,0.0,0.0,3.75,3.75,1.0,3.75,3.75,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,32.75,3.75,17864894.25,298883426.5,17958238.75,28174804.25,714225571.0,966.5,5986129978.25,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,5.75,52.75,52.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,4.75,0.0,1.0,1.0,0.0,1.0,2.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.75,0.0,0.0,0.0,0.0,0.0,11.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1482773921.0,1109.75,1109.75,2311.5,2311.5,2341.0,0.0,110.0,23784.75,22725.0,22681.0,76.0,0.0,0.0,0.0,141.0,0.0,0.0,40.0,45.0,44.0,14.75,38.0,308008776.0,3389064.0,3494149584.0,46916200960.0,352607576.0,0.0,0.0,966.5,0.0,0.0,1322.0,88.0,1591.25
1,5.0,0.0,1.0,0.0,1.0,1.0,2035200.0,1.0,854250000.0,1.0,204000000.0,0.3939943313599999,12311.0,1548.3333333333333,4521.333333333333,38347.22222223334,39305.55555556667,40583.333333333336,97.0,25.0,64.0,896.0,5000.0,0.0,25.0,1000000.0,950000.0,1.0,1.0,0.0,10.0,0.0,0.0,0.0,100.0,27617473.666666668,674882171.0,651230603.6666666,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.666666666666664,1.0,17313575.666666668,293442607.6666667,17233113.333333332,28677993.333333332,710009421.3333334,942.3333333333334,5821854669.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,50.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.666666666666666,0.0,0.0,0.0,0.0,0.0,11.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1466132360.0,1094.6666666666667,1094.6666666666667,2302.6666666666665,2302.6666666666665,2332.6666666666665,0.0,125.0,24009.333333333332,22721.333333333332,22678.0,58.0,0.0,0.0,0.0,146.0,0.0,0.0,39.0,44.333333333333336,43.333333333333336,13.0,37.0,194616394.66666666,0.0,3456693888.0,43646240309.333336,274050016.0,0.0,0.0,942.3333333333334,0.0,0.0,1293.6666666666667,86.66666666666667,1589.0
2,8.0,0.0,1.0,0.0,1.0,1.0,2035200.0,1.0,854250000.0,1.0,204000000.0,0.3922466437023333,12362.0,1496.6666666666667,4572.0,38444.44444443333,39361.1111111,40555.55555556667,92.0,25.0,64.0,896.0,5000.0,0.0,25.0,1000000.0,950000.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,500.0,27227325.333333332,680901367.6666666,651739467.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,17204080.333333332,291389356.3333333,17295259.333333332,28706068.666666668,710804301.3333334,922.3333333333334,5838602807.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,50.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.666666666666666,0.0,0.0,0.0,0.0,0.0,11.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1471367855.3333333,1048.3333333333333,1048.3333333333333,2286.3333333333335,2286.3333333333335,2315.3333333333335,0.0,110.66666666666667,24009.0,22703.666666666668,22660.333333333332,79.66666666666667,0.0,0.0,0.0,134.33333333333334,0.0,0.0,39.0,44.333333333333336,43.333333333333336,15.333333333333334,37.0,258569696.0,119701.33333333333,3399808042.6666665,40005042528.0,307276437.3333333,0.0,0.0,922.3333333333334,0.0,0.0,1302.3333333333333,86.66666666666667,1590.0
3,11.0,0.0,1.0,0.0,1.0,1.0,2035200.0,1.0,854250000.0,1.0,204000000.0,0.38804006576533334,10939.0,1370.3333333333333,4089.3333333333335,38666.666666666664,39416.666666666664,40666.666666666664,91.0,25.0,64.0,896.0,5000.0,0.0,25.0,1000000.0,950000.0,1.0,1.0,0.0,10.0,0.0,0.0,0.0,500.0,26452082.0,670658913.3333334,628172998.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.333333333333336,1.0,16736824.333333334,283193736.3333333,16838774.666666668,26418975.0,700272291.3333334,891.3333333333334,5645612534.666667,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,50.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.666666666666666,0.0,0.0,0.0,0.0,0.0,11.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1457851262.3333333,1085.3333333333333,1085.3333333333333,2247.0,2247.0,2277.3333333333335,0.0,104.66666666666667,22891.0,22417.333333333332,22378.666666666668,55.666666666666664,0.0,0.0,0.0,139.66666666666666,0.0,0.0,35.0,39.666666666666664,38.666666666666664,12.0,33.0,216516522.66666666,0.0,3363431936.0,54868248277.333336,249207701.33333334,0.0,0.0,891.3333333333334,0.0,0.0,1208.0,77.33333333333333,1517.6666666666667
4,14.0,0.0,1.0,0.0,1.0,1.0,2035200.0,1.0,854250000.0,1.0,204000000.0,0.393473704656,11091.333333333334,1293.6666666666667,3987.6666666666665,38375.0,39500.0,40666.666666666664,91.0,25.0,64.0,896.0,5000.0,0.0,25.0,1000000.0,950000.0,1.0,0.0,0.0,10.0,0.0,0.0,100.0,100.0,25695870.666666668,660116889.3333334,624331376.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,1.0,16923290.0,279875407.3333333,16842167.333333332,26965898.666666668,686783112.6666666,901.6666666666666,5667581152.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,50.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.666666666666666,0.0,0.0,0.0,0.0,0.0,11.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1435226728.3333333,1054.3333333333333,1054.3333333333333,2207.3333333333335,2207.3333333333335,2233.3333333333335,0.0,109.33333333333333,22648.666666666668,22414.0,22375.333333333332,66.0,0.0,0.0,0.0,138.66666666666666,0.0,0.0,35.0,39.666666666666664,38.666666666666664,11.333333333333334,33.0,118975893.33333333,0.0,3319728405.3333335,38528295157.333336,264102976.0,0.0,0.0,901.6666666666666,0.0,0.0,1213.3333333333333,77.33333333333333,1489.6666666666667
5,17.0,0.0,1.0,0.0,1.0,1.0,2035200.0,1.0,854250000.0,1.0,204000000.0,0.3887069225313333,11942.0,1344.6666666666667,4037.0,38750.0,39500.0,40916.666666666664,88.0,25.0,64.0,896.0,5000.0,0.0,25.0,1000000.0,950000.0,1.0,1.0,0.0,10.0,0.0,0.0,100.0,100.0,26089869.0,662389548.0,622574739.6666666,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.333333333333336,1.0,16766761.0,285726869.6666667,16893462.333333332,26651489.0,692138105.3333334,916.0,5586854501.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,50.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.666666666666666,0.0,0.0,0.0,0.0,0.0,11.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1445491004.0,1065.6666666666667,1065.6666666666667,2215.0,2215.0,2243.3333333333335,0.0,99.66666666666667,22887.333333333332,22445.0,22406.333333333332,63.666666666666664,0.0,0.0,0.0,131.66666666666666,0.0,0.0,35.0,39.666666666666664,38.666666666666664,12.0,33.0,130963253.33333333,0.0,3264185770.6666665,35580159946.666664,276730282.6666667,0.0,0.0,916.0,0.0,0.0,1235.0,77.33333333333333,1515.3333333333333
6,20.0,0.0,1.0,0.0,1.0,1.0,2035200.0,1.0,854250000.0,1.0,204000000.0,0.38935796419800006,12387.333333333334,1522.3333333333333,4572.0,38611.1111111,39444.44444443333,40916.666666666664,91.0,25.0,64.0,896.0,5000.0,0.0,25.0,1000000.0,950000.0,1.0,0.0,0.0,10.0,0.0,0.0,100.0,500.0,27455038.666666668,683080901.0,640000222.3333334,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,16474786.333333334,285790963.0,16624056.333333334,27574564.0,716699190.0,956.0,5806290434.333333,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,50.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.333333333333334,0.0,0.0,0.0,0.0,0.0,11.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1491963600.6666667,1051.3333333333333,1051.3333333333333,2226.6666666666665,2226.6666666666665,2255.0,0.0,118.33333333333333,23804.666666666668,22634.0,22590.666666666668,53.333333333333336,0.0,0.0,0.0,157.0,0.0,0.0,39.0,44.333333333333336,43.333333333333336,13.666666666666666,37.0,217933877.33333334,0.0,3367142762.6666665,42802526730.666664,296780554.6666667,0.0,0.0,956.0,0.0,0.0,1286.0,86.66666666666667,1536.0
7,23.0,0.0,1.0,0.0,1.0,1.0,2035200.0,1.0,854250000.0,1.0,204000000.0,0.38781944910666666,13709.333333333334,1598.3333333333333,4978.666666666667,38902.77777776666,39444.44444443333,41000.0,93.0,25.0,64.0,896.0,5000.0,0.0,25.0,1000000.0,950000.0,1.0,1.0,0.0,10.0,0.0,0.0,100.0,500.0,28802108.666666668,682535533.0,643635862.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.666666666666664,1.0,17154800.666666668,296026982.6666667,17276665.0,30216652.0,715612005.6666666,1126.3333333333333,6013536102.666667,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,50.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1511919404.0,1136.0,1136.0,2359.6666666666665,2359.6666666666665,2390.0,0.0,138.66666666666666,24939.333333333332,22986.666666666668,22939.0,58.0,0.0,0.0,0.0,187.66666666666666,0.0,0.0,43.0,48.666666666666664,47.666666666666664,12.666666666666666,41.0,284475488.0,1185002.6666666667,3529045760.0,37569088490.666664,317622922.6666667,0.0,0.0,1126.3333333333333,0.0,0.0,1502.3333333333333,95.33333333333333,1745.0
8,26.0,0.0,1.0,1.0,0.0,1.0,1728000.0,1.0,854250000.0,1.0,1062400000.0,0.13483103116366665,9413.0,1142.0,2818.0,38916.666666666664,39916.666666666664,40666.666666666664,99.0,25.0,64.0,896.0,5000.0,0.0,25.0,1000000.0,950000.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,100.0,21260281.333333332,570362972.3333334,554963560.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.333333333333336,1.0,14404724.333333334,271521552.0,14333845.0,21714323.333333332,578920197.0,508.6666666666667,2505898585.6666665,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,50.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.333333333333334,0.0,0.0,0.0,0.0,0.0,11.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1331743728.3333333,424.0,424.0,1148.3333333333333,1148.3333333333333,1176.0,0.0,67.33333333333333,20647.0,21587.0,21557.666666666668,15.333333333333334,0.0,0.0,0.0,69.0,0.0,0.0,27.0,30.333333333333332,29.333333333333332,8.333333333333334,25.0,140266762.66666666,534570.6666666666,1416566837.3333333,16227661034.666666,56660586.666666664,0.0,0.0,508.6666666666667,0.0,0.0,640.0,58.666666666666664,778.0
9,29.0,0.0,1.0,1.0,0.0,1.0,1728000.0,1.0,854250000.0,1.0,1062400000.0,0.13413937886533334,9324.333333333334,1116.6666666666667,2767.3333333333335,38583.333333333336,40166.666666666664,40833.333333333336,89.0,25.0,64.0,896.0,5000.0,0.0,25.0,1000000.0,950000.0,1.0,1.0,0.0,10.0,0.0,0.0,0.0,100.0,21154636.0,567625799.3333334,562455007.6666666,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31.666666666666668,1.0,14216288.666666666,274780218.3333333,13894720.333333334,20811691.666666668,580629089.6666666,477.6666666666667,2418587761.6666665,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,50.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.666666666666666,0.0,0.0,0.0,0.0,0.0,11.666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1334501945.0,455.0,455.0,1128.6666666666667,1128.6666666666667,1157.0,0.0,63.666666666666664,20160.666666666668,21428.333333333332,21401.333333333332,29.333333333333332,0.0,0.0,0.0,67.33333333333333,0.0,0.0,25.0,28.0,27.0,7.0,23.0,47278933.333333336,494784.0,1426397600.0,28063988789.333332,53144352.0,0.0,0.0,477.6666666666667,0.0,0.0,639.0,54.0,802.6666666666666
