core_freq,gpu_freq,emc_freq,num_cores,memory_growth,logical_devices,scheduler.policy,vm.swappiness,vm.vfs_cache_pressure,vm.dirty_background_ratio,vm.drop_caches,vm.nr_hugepages,vm.overcommit_ratio,vm.overcommit_memory,vm.overcommit_hugepages,kernel.sched_child_runs_first,kernel.sched_rt_runtime_us,vm.dirty_bytes,vm.dirty_background_bytes,vm.dirty_ratio,swap_memory,kernel.max_pids,kernel.sched_latency_ns,kernel.sched_nr_migrate,kernel.cpu_time_max_percent,kernel.sched_time_avg_ms,inference_time,total_energy_consumption
2035200,1211250000,40800000,2,0.9,0,0,10,0,80,2,1,50,0,1,0,500000,60,30,50,4,65536,96000000,32,100,2000,284.876759954959,577033
652800,1300500000,40800000,2,0.9,1,0,100,0,80,2,2,80,2,2,0,500000,60,60,50,1,65536,24000000,128,100,1000,263.665653274636,567521
806400,318750000,1866000000,4,0.9,1,0,100,0,80,3,1,80,2,0,1,500000,30,30,10,4,32768,24000000,64,100,2000,262.590296047109,338207
499200,854250000,1062400000,1,0.5,1,1,60,500,10,1,1,50,2,2,0,950000,30,60,50,4,65536,24000000,64,10,2000,270.061943904729,230525
1113600,854250000,665600000,1,0.5,1,1,10,500,10,1,2,50,2,0,1,500000,60,30,50,4,32768,24000000,128,100,2000,269.795182941087,392634
1113600,1211250000,1062400000,2,0.5,1,0,10,100,80,2,2,80,0,1,0,500000,30,60,10,4,65536,24000000,32,10,1000,248.747388814198,330896
499200,1122000000,1062400000,3,0.5,1,1,60,0,10,0,1,50,2,1,1,950000,30,60,10,4,32768,96000000,128,100,2000,263.288957365337,403855
1728000,675750000,1062400000,3,0.5,1,0,60,0,10,0,2,50,0,1,0,500000,60,30,10,1,65536,96000000,128,10,2000,285.468914361543,393967
1420800,675750000,204000000,2,0.5,0,1,60,500,80,0,1,80,2,0,0,500000,30,30,50,4,65536,96000000,128,100,1000,245.708738912886,404882
1113600,1211250000,68000000,1,0.5,1,0,10,0,10,2,2,50,0,0,0,500000,30,60,50,4,32768,96000000,128,10,1000,257.383289450246,252444
1267200,1122000000,204000000,2,0.9,0,0,100,0,10,0,2,50,0,2,0,500000,30,30,10,1,32768,96000000,128,10,2000,286.244788026691,306502
1113600,854250000,204000000,4,0.5,0,0,100,100,10,0,2,80,0,1,0,950000,60,30,50,4,32768,24000000,128,100,1000,248.369698733442,331831
345600,229500000,102000000,3,0.9,0,0,60,0,80,1,1,80,2,0,0,950000,30,30,10,1,65536,96000000,64,10,2000,286.894305704703,317489
345600,318750000,1062400000,4,0.5,0,0,100,0,10,0,2,50,0,1,0,500000,60,60,50,4,32768,24000000,128,100,2000,247.180563283948,340166
1113600,229500000,665600000,2,0.5,0,0,100,0,80,2,2,80,2,2,0,500000,60,60,50,1,65536,24000000,128,100,1000,263.462781108181,349707
1420800,1211250000,68000000,4,0.9,0,0,100,100,10,3,2,50,0,2,0,500000,60,60,50,4,65536,24000000,128,100,2000,253.955998079688,230299
1267200,1032750000,1866000000,2,0.9,0,0,10,100,10,1,2,80,2,2,1,500000,30,30,10,4,65536,24000000,32,10,2000,273.623245074297,379648
