core_freq,gpu_freq,emc_freq,num_cores,memory_growth,logical_devices,scheduler.policy,vm.swappiness,vm.vfs_cache_pressure,vm.dirty_background_ratio,vm.drop_caches,vm.nr_hugepages,vm.overcommit_ratio,vm.overcommit_memory,vm.overcommit_hugepages,kernel.sched_child_runs_first,kernel.sched_rt_runtime_us,vm.dirty_bytes,vm.dirty_background_bytes,vm.dirty_ratio,swap_memory,kernel.max_pids,kernel.sched_latency_ns,kernel.sched_nr_migrate,kernel.cpu_time_max_percent,kernel.sched_time_avg_ms,inference_time,total_energy_consumption
806400.0,1211250000.0,1062400000.0,2.0,0.5,1.0,0,100,500,80,0,1,80,2,2,1,950000,60,60,50,1,32768,96000000,64,100,1000,355.4054181940817,693518.7305060271
1728000.0,408000000.0,1062400000.0,1.0,0.9,1.0,0,100,0,10,0,2,50,0,0,1,500000,30,60,50,1,65536,24000000,128,10,2000,385.5482641713821,746859.3644200494
499200.0,765000000.0,1331200000.0,4.0,0.9,1.0,1,100,500,80,2,2,80,0,0,0,500000,60,30,10,1,32768,96000000,32,100,1000,411.05619512805356,465375.0
1113600.0,1300500000.0,1062400000.0,4.0,0.5,0.0,0,60,0,10,0,1,50,2,2,0,500000,60,30,50,4,65536,96000000,128,100,2000,356.4583697391312,412639.0
345600.0,497250000.0,1331200000.0,1.0,0.9,0.0,1,10,0,80,2,1,50,2,2,0,500000,60,60,50,1,32768,96000000,128,100,2000,373.78022884861576,306496.0
2035200.0,854250000.0,102000000.0,2.0,0.5,0.0,0,60,100,80,3,2,80,2,1,0,950000,60,30,50,4,32768,96000000,64,100,2000,359.26735038575816,271723.0
345600.0,318750000.0,665600000.0,1.0,0.9,1.0,0,60,0,10,1,2,50,2,0,0,950000,30,60,10,4,32768,24000000,32,10,2000,406.0020988343544,299672.0
1881600.0,1032750000.0,40800000.0,3.0,0.5,1.0,0,60,0,10,2,2,80,0,0,1,950000,60,60,10,1,32768,96000000,128,100,1000,409.9943247705962,372241.0
1881600.0,1211250000.0,1866000000.0,2.0,0.9,1.0,1,100,500,80,2,1,80,2,0,0,950000,60,30,50,1,32768,96000000,32,100,2000,357.95164526919933,388120.0
1113600.0,318750000.0,40800000.0,1.0,0.5,0.0,0,60,100,80,0,1,50,2,2,0,500000,60,30,50,4,65536,96000000,32,10,1000,384.2577366260899,405474.0
499200.0,1300500000.0,102000000.0,3.0,0.9,1.0,1,10,100,80,1,2,50,2,0,1,500000,30,30,50,4,32768,96000000,64,100,1000,417.01405525823725,434181.0
