core_freq,gpu_freq,emc_freq,num_cores,memory_growth,logical_devices,scheduler.policy,vm.swappiness,vm.vfs_cache_pressure,vm.dirty_background_ratio,vm.drop_caches,vm.nr_hugepages,vm.overcommit_ratio,vm.overcommit_memory,vm.overcommit_hugepages,kernel.sched_child_runs_first,kernel.sched_rt_runtime_us,vm.dirty_bytes,vm.dirty_background_bytes,vm.dirty_ratio,swap_memory,kernel.max_pids,kernel.sched_latency_ns,kernel.sched_nr_migrate,kernel.cpu_time_max_percent,kernel.sched_time_avg_ms,inference_time,total_energy_consumption
806400.0,1211250000.0,1062400000.0,2.0,0.5,1.0,0,100,500,80,0,1,80,2,2,1,950000,60,60,50,1,32768,96000000,64,100,1000,355.4054181940817,693518.7305060271
1728000.0,408000000.0,1062400000.0,1.0,0.9,1.0,0,100,0,10,0,2,50,0,0,1,500000,30,60,50,1,65536,24000000,128,10,2000,385.5482641713821,746859.3644200494
499200.0,229500000.0,1062400000.0,4.0,0.9,1.0,1,10,100,80,1,2,50,2,1,1,500000,60,30,50,1,65536,24000000,32,10,1000,193.72046752008342,668858.8211654243
1881600.0,1032750000.0,102000000.0,2.0,0.5,0.0,1,10,100,10,3,1,80,2,1,1,950000,30,30,10,4,32768,96000000,32,10,1000,224.38173981806955,806023.622573629
499200.0,1032750000.0,40800000.0,2.0,0.5,0.0,0,100,0,10,2,2,80,0,2,0,950000,30,60,50,1,65536,24000000,32,10,2000,158.88580235822198,710207.0166894766
345600.0,1300500000.0,1062400000.0,1.0,0.5,1.0,0,60,100,80,3,2,80,2,1,0,950000,60,30,50,4,32768,96000000,64,100,2000,243.42066910537338,816115.2777018069
1881600.0,1032750000.0,102000000.0,2.0,0.5,0.0,1,60,500,10,1,1,50,2,2,1,950000,60,30,50,1,32768,96000000,128,10,1000,142.97285312921713,817026.2535691711
1267200.0,318750000.0,1331200000.0,3.0,0.9,0.0,1,60,500,80,1,2,50,0,2,0,500000,30,30,50,4,32768,96000000,32,10,2000,186.3900097922633,767172.2809413176
1881600.0,408000000.0,1866000000.0,1.0,0.9,0.0,0,10,500,80,2,2,50,0,2,1,950000,30,30,10,1,32768,96000000,32,10,2000,240.11537381396852,736074.8522312219
1881600.0,1300500000.0,204000000.0,4.0,0.5,1.0,0,10,500,10,2,2,80,2,2,0,950000,30,60,50,4,32768,96000000,64,100,1000,223.8632394525286,812405.4156843696
806400.0,1211250000.0,40800000.0,3.0,0.5,0.0,1,60,100,80,1,2,80,0,1,0,950000,60,30,10,1,65536,96000000,32,100,2000,225.99659285993735,818868.22129692
652800.0,1032750000.0,204000000.0,1.0,0.9,0.0,1,10,100,80,1,1,50,2,0,1,500000,60,60,10,4,32768,24000000,128,10,2000,170.6658806278321,770387.2281726161
1574400.0,1300500000.0,102000000.0,3.0,0.5,1.0,0,60,0,10,2,1,50,0,1,0,950000,30,60,50,4,65536,24000000,32,100,2000,140.24895565734784,756431.921361317
2035200.0,497250000.0,204000000.0,3.0,0.5,0.0,1,10,100,10,3,2,80,2,0,0,500000,30,30,50,1,32768,96000000,32,100,2000,252.5137435834871,723764.0680582643
806400.0,497250000.0,1866000000.0,2.0,0.5,0.0,1,100,500,80,3,2,80,0,1,0,500000,30,60,10,4,32768,24000000,32,100,2000,222.88044310066482,825372.2441941226
1267200.0,318750000.0,1331200000.0,3.0,0.5,1.0,0,100,500,10,3,2,50,0,1,0,950000,60,60,50,4,32768,24000000,32,100,2000,221.670176053198,707176.9597459604
1113600.0,1300500000.0,204000000.0,1.0,0.9,1.0,1,10,100,10,3,2,80,0,2,0,500000,60,60,50,1,32768,24000000,128,10,1000,127.49395411813096,723062.8871451716
1420800.0,1211250000.0,68000000.0,4.0,0.9,1.0,1,60,500,10,2,1,80,0,1,0,950000,60,30,10,4,65536,24000000,64,100,1000,226.14765001851538,771536.2034092782
960000.0,140250000.0,1866000000.0,1.0,0.5,0.0,0,10,0,10,2,1,50,2,0,0,500000,30,30,10,4,32768,96000000,128,100,1000,193.1291916538002,820119.262898726
652800.0,854250000.0,1866000000.0,2.0,0.5,0.0,1,100,500,10,3,1,50,2,0,1,500000,30,30,10,4,65536,96000000,32,10,1000,198.41001257852278,714859.433982733
1574400.0,1122000000.0,1062400000.0,2.0,0.5,1.0,0,60,500,80,1,2,50,2,0,0,500000,30,30,50,1,32768,96000000,128,10,2000,127.56667011229166,694838.9967613942
1420800.0,765000000.0,1062400000.0,3.0,0.9,1.0,0,60,500,80,1,1,50,2,1,1,500000,30,30,50,1,65536,96000000,128,100,1000,153.5235105348715,757618.0598977895
1113600.0,854250000.0,1062400000.0,4.0,0.9,0.0,0,60,500,10,3,2,50,2,1,1,500000,60,60,50,1,32768,24000000,128,100,2000,229.3808666127066,687073.9151067495
1113600.0,1300500000.0,1062400000.0,2.0,0.9,1.0,0,100,500,10,2,1,80,2,2,0,950000,60,30,10,4,32768,96000000,128,100,2000,225.09480832408875,770893.2505276648
1267200.0,229500000.0,1866000000.0,1.0,0.5,1.0,1,100,500,80,2,1,50,2,0,1,950000,60,60,50,4,65536,96000000,64,100,2000,187.13372084365716,758551.8231612876
