core_freq,gpu_freq,emc_freq,num_cores,memory_growth,logical_devices,scheduler.policy,vm.swappiness,vm.vfs_cache_pressure,vm.dirty_background_ratio,vm.drop_caches,vm.nr_hugepages,vm.overcommit_ratio,vm.overcommit_memory,vm.overcommit_hugepages,kernel.sched_child_runs_first,kernel.sched_rt_runtime_us,vm.dirty_bytes,vm.dirty_background_bytes,vm.dirty_ratio,swap_memory,kernel.max_pids,kernel.sched_latency_ns,kernel.sched_nr_migrate,kernel.cpu_time_max_percent,kernel.sched_time_avg_ms,inference_time,total_energy_consumption
2188800.0,268800.0,600000000.0,2.0,0.5,2.0,0,100,500,80,0,1,50,1,2,1,950000,30,60,50,1,32768,24000000,128,100,1000,40.12014369365677,150035.72653858273
1881600.0,1190400.0,2133000000.0,3.0,0.9,1.0,0,60,100,80,3,2,50,1,2,1,500000,60,60,5,4,65536,24000000,256,100,2000,37.132912836177866,164363.00867342087
1344000.0,1267200.0,800000000.0,4.0,0.5,2.0,0,60,500,10,3,1,50,0,2,1,950000,60,60,5,4,65536,24000000,128,50,1000,36.98146669330123,156145.6357167094
115200.0,1113600.0,204000000.0,2.0,0.5,2.0,0,100,100,10,3,2,60,0,2,1,950000,60,60,5,1,65536,24000000,256,50,1000,38.03372376658272,172980.72770941333
2265600.0,268800.0,1065600000.0,3.0,0.9,2.0,0,60,100,10,3,1,50,0,2,1,950000,60,30,5,4,32768,24000000,256,100,2000,37.99615493086969,161236.00225784455
2265600.0,1728000.0,204000000.0,2.0,0.5,2.0,0,100,500,80,0,2,60,0,1,0,500000,30,30,5,4,32768,24000000,256,100,1000,35.031923924666195,156490.08577475208
1113600.0,1420800.0,600000000.0,3.0,0.9,2.0,0,100,100,80,3,2,50,0,1,1,950000,30,30,50,4,32768,96000000,128,50,1000,37.07986149561833,171602.03790329953
729600.0,2265600.0,800000000.0,4.0,0.5,1.0,0,100,100,10,3,2,60,0,2,0,950000,60,30,50,1,65536,96000000,256,100,1000,40.203538772583954,140469.77406853013
192000.0,883200.0,800000000.0,2.0,0.9,2.0,0,60,100,80,3,2,60,1,2,1,950000,30,60,5,4,65536,24000000,128,50,2000,34.60398073023145,162047.4066761024
422400.0,345600.0,1065600000.0,2.0,0.9,2.0,0,60,100,80,3,2,60,1,1,1,950000,60,60,5,1,65536,24000000,128,50,1000,14.69837370994515,169674.61373164546
729600.0,1728000.0,408000000.0,1.0,0.5,2.0,1,100,500,10,3,1,60,1,1,0,950000,60,60,50,4,65536,96000000,128,50,2000,11.935188467655653,152773.79267094325
960000.0,2112000.0,1866000000.0,2.0,0.5,1.0,1,60,100,10,0,1,60,0,2,1,950000,60,30,50,4,65536,96000000,256,100,1000,18.293637929913174,161987.4384868529
1036800.0,422400.0,665600000.0,2.0,0.9,2.0,0,100,500,10,3,2,60,1,2,1,950000,60,30,5,1,65536,24000000,256,50,2000,12.194359364393346,169046.84143964938
729600.0,1190400.0,2133000000.0,2.0,0.9,1.0,0,60,500,10,3,2,60,0,2,1,500000,30,60,50,1,65536,24000000,256,100,2000,21.35934145184909,144123.28888123928
960000.0,576000.0,2133000000.0,2.0,0.9,2.0,0,100,500,10,3,2,60,0,1,0,950000,60,30,5,1,65536,96000000,128,100,2000,18.174234670529174,141747.68296689505
1036800.0,115200.0,665600000.0,4.0,0.9,2.0,0,100,500,10,0,1,50,0,1,0,500000,60,60,5,4,32768,24000000,128,100,1000,21.58125711805721,148960.09195960255
1113600.0,1113600.0,204000000.0,4.0,0.9,1.0,0,100,500,80,0,2,60,0,1,0,500000,30,30,5,4,32768,24000000,256,100,1000,15.447436331788694,142826.49864565677
1497600.0,499200.0,1331200000.0,3.0,0.9,2.0,1,100,100,80,3,2,60,1,2,0,500000,60,30,5,4,32768,96000000,256,100,1000,22.456574926614365,155921.19599067786
268800.0,2188800.0,1866000000.0,1.0,0.5,2.0,0,100,500,80,3,2,50,0,2,0,950000,60,60,5,1,32768,24000000,128,100,1000,18.03500889747701,174083.1621646714
1036800.0,1958400.0,1331200000.0,1.0,0.9,1.0,1,100,500,80,0,2,50,0,1,0,950000,60,60,50,4,32768,96000000,256,100,2000,16.80355157068136,144657.8832608895
2112000.0,1190400.0,408000000.0,1.0,0.5,2.0,1,100,500,80,0,2,50,1,1,0,950000,30,30,50,4,32768,96000000,128,100,2000,23.976961158494785,143803.7352679609
1651200.0,1420800.0,1331200000.0,4.0,0.5,2.0,1,100,100,80,3,2,50,0,2,1,500000,60,60,50,1,65536,24000000,128,50,1000,17.358395762126182,165625.90082405147
1267200.0,345600.0,408000000.0,1.0,0.5,2.0,0,100,100,10,3,1,60,0,1,1,950000,30,60,5,4,32768,24000000,256,50,2000,14.598491774821605,155999.65064419305
806400.0,2112000.0,1866000000.0,1.0,0.9,1.0,0,60,500,80,3,2,60,0,1,1,950000,30,30,50,4,65536,24000000,128,100,2000,19.126328614927672,164533.11440559343
2035200.0,268800.0,1331200000.0,2.0,0.9,1.0,0,60,100,80,0,2,50,1,1,0,500000,60,60,50,1,32768,96000000,128,50,2000,15.994455672219473,144710.3240839486
2112000.0,576000.0,800000000.0,4.0,0.9,2.0,0,60,100,10,0,2,60,1,2,1,950000,30,60,50,1,32768,96000000,256,50,1000,19.8462039819914,165042.66210202107
806400.0,2188800.0,1866000000.0,2.0,0.5,2.0,0,60,500,80,3,2,50,1,2,1,950000,30,30,5,1,32768,24000000,128,50,2000,21.475432681760203,158018.40116711255
1267200.0,192000.0,1331200000.0,1.0,0.5,1.0,1,60,100,10,0,1,60,0,1,0,950000,60,60,5,4,65536,96000000,256,100,1000,20.963736937447784,144262.52843090316
