core_freq,gpu_freq,emc_freq,num_cores,memory_growth,logical_devices,scheduler.policy,vm.swappiness,vm.vfs_cache_pressure,vm.dirty_background_ratio,vm.drop_caches,vm.nr_hugepages,vm.overcommit_ratio,vm.overcommit_memory,vm.overcommit_hugepages,kernel.sched_child_runs_first,kernel.sched_rt_runtime_us,vm.dirty_bytes,vm.dirty_background_bytes,vm.dirty_ratio,swap_memory,kernel.max_pids,kernel.sched_latency_ns,kernel.sched_nr_migrate,kernel.cpu_time_max_percent,kernel.sched_time_avg_ms,inference_time,total_energy_consumption
1728000.0,2112000.0,408000000.0,3.0,0.9,2.0,1,60,100,10,0,1,50,1,2,0,950000,30,30,5,1,65536,24000000,256,100,2000,132.52405424186097,463256.1867053256
192000.0,576000.0,600000000.0,3.0,0.5,1.0,1,60,500,80,3,1,60,1,2,0,950000,30,60,5,1,65536,96000000,128,100,1000,143.7637595215323,414874.6091948925
652800.0,499200.0,1331200000.0,3.0,0.9,1.0,1,60,500,10,3,2,50,1,1,1,500000,30,60,50,4,65536,24000000,128,50,2000,153.275191403681,499954.13805626007
499200.0,1420800.0,665600000.0,3.0,0.5,2.0,0,60,500,80,3,2,60,0,2,0,950000,30,30,50,4,32768,24000000,128,100,1000,132.91668024170994,440521.7501402199
1420800.0,1651200.0,600000000.0,4.0,0.5,2.0,0,100,100,80,3,2,60,0,1,1,500000,30,60,50,1,32768,24000000,256,50,1000,139.37567855372112,506213.7123415141
729600.0,1497600.0,2133000000.0,1.0,0.9,1.0,0,100,500,10,0,2,50,1,2,1,500000,30,30,5,1,65536,96000000,256,50,1000,53.31191133631825,506778.7654513769
960000.0,2188800.0,665600000.0,2.0,0.9,1.0,1,60,100,10,0,1,60,0,1,0,500000,60,30,5,1,65536,96000000,256,50,2000,69.5013595835558,475855.72645376733
652800.0,1804800.0,665600000.0,3.0,0.9,2.0,1,100,500,80,0,1,60,1,1,0,500000,60,30,50,1,32768,96000000,256,50,1000,89.53454616792047,456566.8523673237
1497600.0,1113600.0,800000000.0,2.0,0.9,2.0,1,60,500,80,3,1,60,1,1,0,950000,60,30,5,1,32768,96000000,128,50,1000,83.47442827043439,503912.5876408344
652800.0,2035200.0,665600000.0,4.0,0.5,1.0,1,60,500,80,0,2,60,1,2,0,950000,60,30,5,4,32768,96000000,256,50,2000,84.26991598167155,507921.2870374239
729600.0,729600.0,1866000000.0,4.0,0.5,1.0,1,100,500,10,3,1,60,0,1,1,950000,30,30,5,4,65536,96000000,256,100,2000,63.6381249798696,477849.869214482
192000.0,2265600.0,600000000.0,4.0,0.9,1.0,0,60,100,10,3,1,50,0,2,0,950000,60,60,5,1,32768,24000000,128,100,2000,52.29622075358733,469193.77875664143
1728000.0,2188800.0,1866000000.0,2.0,0.9,1.0,1,60,500,10,3,2,50,0,1,0,500000,30,30,50,1,65536,24000000,128,100,2000,94.15766709892738,448930.81377290224
