core_freq,gpu_freq,emc_freq,num_cores,memory_growth,logical_devices,scheduler.policy,vm.swappiness,vm.vfs_cache_pressure,vm.dirty_background_ratio,vm.drop_caches,vm.nr_hugepages,vm.overcommit_ratio,vm.overcommit_memory,vm.overcommit_hugepages,kernel.sched_child_runs_first,kernel.sched_rt_runtime_us,vm.dirty_bytes,vm.dirty_background_bytes,vm.dirty_ratio,swap_memory,kernel.max_pids,kernel.sched_latency_ns,kernel.sched_nr_migrate,kernel.cpu_time_max_percent,kernel.sched_time_avg_ms,inference_time,total_energy_consumption,migrations,context-switches,cache-misses,branch-misses,branch-load-misses,major-faults,minor-faults,sched_sched_wakeup_new,sched_sched_wakeup,sched_sched_switch,sched_sched_stat_runtime,sched_sched_process_wait,sched_sched_overutilized,cycles,sched_sched_load_avg_cpu,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,branch-loads
499200,497250000,1062400000,1,0.5,1,1,60,0,10,0,1,50,2,1,1,950000,30,60,10,4,32768,96000000,128,100,2000,146.19872171293,259554,2563,30115,686962964,61593616,83032339,1105,572974,2207,41430,47012,20969651392,1340,289,50189537504,108839,169837,83137,10989221655,1068495769,5505258409,4921458837,3112226642
652800,408000000,204000000,2,0.9,1,0,60,100,10,2,1,50,0,0,1,950000,30,60,50,1,65536,24000000,32,100,1000,167.232290748533,262937,3870,43804,608957938,89690896,48384510,1787,408043,1139,20929,22592,20499172782,1348,539,58738149414,118707,154510,114401,8513955390,745529663,3084266924,3471913761,2080220330
1574400,1300500000,665600000,4,0.9,0,1,100,100,10,2,1,80,2,1,0,500000,60,30,10,4,32768,96000000,128,100,1000,141.431568951862,342098,4403,22357,578796034,63615258,57387174,1090,510417,1719,40965,40199,30290752230,2166,275,53635750428,92994,93431,81445,10770793007,621349220,3905916685,5426451290,2397189145
1881600,140250000,68000000,2,0.9,1,1,10,0,80,0,1,50,0,0,1,500000,30,60,10,4,65536,24000000,128,100,2000,96.3525464210378,236892,4003,36448,938266358,73041916,72222890,895,576458,1380,36505,33536,21371993602,2283,616,46100252607,70643,116268,120536,9684481672,879288194,4411617106,4105007432,2235878680
499200,229500000,665600000,3,0.9,1,1,60,100,80,1,1,50,2,2,0,950000,60,30,10,1,32768,96000000,32,10,1000,143.061743145831,267121,4303,26436,819834930,62117057,56352568,1193,362891,1496,28300,41325,32575279054,1700,290,31444422201,70245,132720,146441,9928172489,898287478,5552896454,3400166871,2562725286
960000,408000000,665600000,2,0.5,1,0,60,500,80,1,1,80,2,2,1,950000,30,30,10,4,65536,24000000,32,100,2000,98.2187723972893,309987,4465,35774,744058732,54271499,51688132,996,371901,2173,43425,27384,22303616785,1883,557,57616002308,82323,137922,137009,9166364829,739993378,3950879912,5491693741,2357297805
1420800,1122000000,665600000,4,0.9,1,0,60,0,10,1,1,80,0,2,1,500000,30,60,10,1,65536,24000000,32,10,2000,128.146842825962,389193,2640,39662,585580598,54363245,77031872,1670,349397,1507,36801,38318,26502108371,1906,522,56564059829,104528,134832,146703,11301994691,666274575,5181193206,5363710935,2643660736
960000,1122000000,68000000,3,0.9,1,0,100,0,80,1,2,80,0,2,0,500000,30,30,50,4,65536,24000000,128,100,2000,127.836744932046,235365,2643,44577,922927943,72500665,80911329,1697,535972,1907,20875,28897,24287899583,1143,447,38706033819,83708,84711,167540,9237106872,549457261,3577661310,5211076522,2778305137
652800,229500000,1866000000,1,0.5,1,1,10,0,10,2,2,80,2,1,1,950000,60,30,10,4,32768,24000000,64,10,1000,150.265759499611,327781,3319,33604,490381578,94941755,64782624,1651,564476,2442,20238,33434,35730076029,2311,471,27133646647,113092,139140,88506,9286812315,936716832,3530831068,4637404820,1966409981
1574400,675750000,68000000,1,0.5,0,0,100,500,10,0,2,50,0,2,1,500000,60,60,50,1,65536,96000000,32,10,1000,146.458931502359,241646,4400,30081,1017227092,42157768,60075674,1293,587825,2222,31840,32134,30703272194,1901,491,40423609922,78729,159450,140586,8823044031,520753310,4467008864,3030931586,1997567985
1267200,1211250000,204000000,2,0.9,0,0,100,0,10,1,1,80,2,0,1,500000,30,60,10,1,32768,24000000,128,10,1000,151.782805917339,255042,2855,47538,718541628,65895499,92307181,1692,518855,2395,42925,34247,30167467675,1994,321,41689995962,92689,79806,161021,12174815045,965085094,5866020428,4985344115,1448952219
1574400,1300500000,204000000,2,0.5,1,1,60,500,80,2,1,80,0,1,0,500000,60,60,50,1,32768,24000000,128,100,1000,80.8259282728702,225104,3644,28329,487932164,47653255,63242514,1130,649219,1954,31992,46404,36617999160,1229,474,47563995044,64597,157401,144189,12635341649,967594476,3246269521,4558510065,2442531352
1574400,1122000000,204000000,4,0.5,0,1,10,0,80,0,2,80,0,1,0,950000,30,30,50,1,32768,24000000,32,10,1000,141.045417157527,327560,4446,39143,558702440,58830240,49356173,1068,434053,1802,26277,36815,22578443600,1901,398,48817768499,128118,121405,77154,6276597606,765373670,4986570828,2947190556,1723422125
652800,1122000000,204000000,3,0.9,0,1,100,500,10,1,2,50,0,2,1,500000,60,30,10,1,65536,24000000,128,100,2000,172.336261269224,231998,2202,34065,545733080,69505367,84465430,1543,582955,2460,40820,30389,43261873626,2362,292,30261915594,87275,93728,112644,12443509688,1068372511,3439743869,2619758273,3204984970
