core_freq,gpu_freq,emc_freq,num_cores,memory_growth,logical_devices,scheduler.policy,vm.swappiness,vm.vfs_cache_pressure,vm.dirty_background_ratio,vm.drop_caches,vm.nr_hugepages,vm.overcommit_ratio,vm.overcommit_memory,vm.overcommit_hugepages,kernel.sched_child_runs_first,kernel.sched_rt_runtime_us,vm.dirty_bytes,vm.dirty_background_bytes,vm.dirty_ratio,swap_memory,kernel.max_pids,kernel.sched_latency_ns,kernel.sched_nr_migrate,kernel.cpu_time_max_percent,kernel.sched_time_avg_ms,inference_time,total_energy_consumption,migrations,context-switches,cache-misses,branch-misses,branch-load-misses,major-faults,minor-faults,sched_sched_wakeup_new,sched_sched_wakeup,sched_sched_switch,sched_sched_stat_runtime,sched_sched_process_wait,sched_sched_overutilized,cycles,sched_sched_load_avg_cpu,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,branch-loads
499200.0,1300500000.0,665600000.0,4.0,0.5,1.0,1,100,500,80,3,2,50,2,0,0,950000,30,60,10,4,65536,24000000,64,100,2000,139.3365907207733,338835.0,3625,43990,986256693,69858470,70335527,1823,529891,1789,27236,46997,32246376813,1281,457,55626204786,129186,94742,173147,10102129625,952107160,5650351658,4085142539,1775857341
1881600.0,854250000.0,1331200000.0,2.0,0.5,1.0,0,100,500,10,2,1,50,0,1,0,950000,60,60,10,4,65536,96000000,64,100,2000,282.7807433671623,317878.0,3971,40752,1092538153,85692213,94670946,1891,412554,2034,42234,34003,33655595349,1431,611,33213496201,113200,79763,99660,9741330463,954847791,3593003545,3936577855,2515057584
1113600.0,140250000.0,1866000000.0,2.0,0.9,1.0,1,60,500,10,1,2,50,2,1,0,500000,60,60,10,4,32768,24000000,32,100,1000,233.07913711506808,310348.0,3583,29974,930428770,80285736,53098783,1878,298123,2288,28857,22023,34297770850,1704,468,39718659253,138049,147969,96028,8188421524,876421759,3312600339,4656721050,1869992645
1881600.0,229500000.0,665600000.0,3.0,0.9,1.0,1,10,100,80,1,2,80,2,2,0,500000,30,60,50,4,32768,96000000,32,100,1000,185.26014103772084,491722.0,3457,22147,1060086379,89275243,53798695,1774,406883,1196,43169,32279,35424191528,1906,602,56856933340,101975,146367,110558,9430484357,1053441721,4760191872,3457867996,1680983613
1574400.0,1211250000.0,1062400000.0,1.0,0.5,0.0,1,60,0,80,1,2,80,2,0,0,950000,30,60,10,4,65536,96000000,128,100,1000,170.86594609881195,451678.0,4287,32785,1061471649,63598003,87625408,1760,399617,1644,40158,45651,45348445769,2439,552,43985876886,123737,171068,116883,11012510630,1051088910,3745133873,2721796590,1912059478
1267200.0,675750000.0,1866000000.0,4.0,0.9,0.0,0,60,0,10,2,1,50,0,1,0,950000,30,60,50,4,65536,24000000,32,100,2000,144.79577300010266,296286.0,3460,22214,1097024506,56432497,83141249,1243,486850,1764,41256,40316,21833551938,2079,302,55090216338,62722,145985,111527,13176712361,657175997,3250044478,2921477152,2654697949
499200.0,1032750000.0,1866000000.0,1.0,0.9,1.0,0,10,500,80,1,2,80,2,0,0,500000,60,30,10,1,65536,24000000,128,10,2000,228.34398169310379,404715.0,4386,36890,732825216,73536986,60322983,1614,458355,1271,41780,26785,27867307435,2239,548,41960557255,78751,106808,153400,12480871160,1071808535,4680128163,4004641125,2294796081
1728000.0,140250000.0,1331200000.0,3.0,0.5,1.0,0,10,100,10,1,1,50,2,2,0,950000,60,60,10,4,32768,96000000,64,10,2000,273.9209130649807,124799.0,3645,47217,856576266,61819081,49234516,1158,295116,1945,26049,47738,33246071947,2241,407,51536998499,93206,131380,150072,6839283403,969051197,5512302122,4884641369,2585057116
1728000.0,854250000.0,1331200000.0,1.0,0.9,1.0,0,10,500,10,3,1,50,0,0,0,500000,30,30,10,4,65536,24000000,64,100,1000,262.2625152602561,353392.0,4456,45843,638796719,74282586,52440637,1426,288086,1888,36957,48561,26371179812,1449,498,58695407756,96275,76207,150149,10153618386,963848446,4433243214,3476078254,2743955331
652800.0,854250000.0,40800000.0,4.0,0.5,1.0,1,60,500,10,1,1,50,2,2,1,500000,60,30,50,1,32768,24000000,32,10,2000,217.83370034478838,98480.0,3434,31117,486901972,78026560,77666878,1487,295878,1113,42045,27064,42815672506,1348,287,42773529692,101612,136129,137265,13730158220,779153485,4809544770,3101307621,1471227682
