,Unnamed: 0,core_freq,gpu_freq,emc_freq,num_cores,memory_growth,logical_devices,scheduler.policy,vm.swappiness,vm.vfs_cache_pressure,vm.dirty_background_ratio,vm.drop_caches,vm.nr_hugepages,vm.overcommit_ratio,vm.overcommit_memory,vm.overcommit_hugepages,kernel.sched_child_runs_first,kernel.sched_rt_runtime_us,vm.dirty_bytes,vm.dirty_background_bytes,vm.dirty_ratio,swap_memory,kernel.max_pids,kernel.sched_latency_ns,kernel.sched_nr_migrate,kernel.cpu_time_max_percent,kernel.sched_time_avg_ms,inference_time,total_energy_consumption,migrations,context-switches,cache-misses,cache-references,branch-misses,branch-load-misses,major-faults,minor-faults,sched_sched_wakeup_new,sched_sched_wakeup,sched_sched_switch,sched_sched_stat_runtime,sched_sched_process_wait,sched_sched_overutilized,cycles,sched_sched_load_avg_cpu,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,branch-loads
1542,214479,1497600,1497600,204000000,2,0.5,1,1,100,500,5,0,1,50,0,1,1,950000,30,60,10,4,65546,24000000,128,100,2000,25.920708624974534,103897,3518,17314,788065080,1038940988,93470875,75072935,55,158118,996,30349,27827,51321416665,370,178,47429615219,53608,75763,59236,4619135730,577118508,861929222,1379242799,2593060416
1617,602357,1651200,883200,1065600000,4,0.9,1,0,100,500,50,3,1,50,0,1,0,950000,30,30,10,4,65546,24000000,128,100,2000,24.92978944265763,110713,4038,21442,780093570,1054359144,96344941,118495077,44,205673,1331,27846,23025,24827098374,743,179,60567069495,79502,66812,54056,5159630830,1004642329,786559652,1384160630,2925062094
1116,787896,345600,499200,1065600000,2,0.9,1,1,100,100,50,3,1,50,0,1,1,500000,30,30,10,4,65546,24000000,128,100,1000,8.362792388180504,45221,4304,17555,960005418,853500195,110561396,66658817,37,170091,1195,23748,32250,42949780020,659,276,74549481833,82149,72174,53886,5735525634,772210558,1564525142,1538365186,2599768460
1969,367710,268800,2035200,600000000,3,0.5,1,0,60,500,5,3,1,50,0,1,1,950000,30,60,10,4,65546,24000000,128,100,1000,21.96270547584809,102460,4097,31626,890603241,824556299,79629502,100679108,51,112413,866,26859,35778,36820595702,720,200,43031162486,53280,58613,68296,5429988800,586065896,1584197239,1053381892,1694555163
346,422763,1267200,499200,1866000000,2,0.9,1,1,60,500,50,0,1,50,0,1,1,500000,30,60,10,4,65546,24000000,128,100,2000,11.646780750165016,42510,2132,17492,999510272,621391530,80913371,85276685,39,103492,868,27007,17014,32967091474,548,322,52921195518,52402,72985,70586,5087272632,713746187,998850209,1217159704,1935429352
1369,68238,1651200,345600,600000000,2,0.9,1,0,100,100,5,0,1,50,0,1,1,950000,30,60,10,4,65546,24000000,128,100,1000,5.280676957169758,25386,3049,32748,888468146,722062801,112322055,125138348,49,198787,946,32815,30171,51238354416,608,325,36930428490,82146,33942,67402,4861191751,742313856,806224296,691655092,1797801479
2410,1097667,268800,883200,2133000000,1,0.5,1,1,100,500,5,0,1,50,0,1,0,500000,30,60,10,4,65546,24000000,128,100,2000,21.17011150054543,109048,3082,35519,690010725,718886230,163462507,55265308,32,133694,734,26693,30771,26269370565,667,293,46446038573,55556,74830,67359,4414156452,646399360,1323720605,1587060779,2165893972
2246,1164984,1344000,960000,600000000,2,0.5,1,0,100,100,50,3,1,50,0,1,1,500000,30,30,10,4,65546,24000000,128,100,1000,19.02294459492384,91316,3328,21057,583011011,779075633,80606332,65516027,49,117858,1453,25854,35358,44901116412,721,195,36924453871,61160,46619,75086,4696320683,461323793,1010911284,884340479,2726931457
1919,24544,1728000,115200,600000000,2,0.5,1,1,100,500,50,0,1,50,0,1,0,500000,30,30,10,4,65546,24000000,128,100,1000,19.58125864198801,81326,2510,18008,822534192,735358551,138015430,91782486,45,197188,935,30341,16419,37847544898,489,170,43194611691,85339,65149,46450,6349043564,537475825,989069993,863573040,1359884729
2077,646459,2188800,883200,408000000,1,0.5,1,1,60,100,50,3,1,50,0,1,1,500000,30,60,10,4,65546,24000000,128,100,2000,19.014199568080247,94158,3301,31032,939605904,468160064,100293048,64076874,57,137675,998,23036,23015,37415423402,553,168,47008953981,69208,42365,60560,4330166993,1044878430,961877096,1404470148,1712053503
435,325597,1267200,1036800,600000000,3,0.9,1,1,100,500,5,3,1,50,0,1,1,950000,30,30,10,4,65546,24000000,128,100,2000,10.721395551104305,45366,3854,27117,618681237,739034326,116001594,86087714,31,195277,872,20777,34631,34379289884,647,198,42581528199,70288,58001,56950,5159185484,716530908,1025207578,1040151850,2378331409
1950,208684,576000,652800,800000000,1,0.9,1,1,60,100,50,0,1,50,0,1,1,950000,30,30,10,4,65546,24000000,128,100,1000,20.461664848531505,101759,3997,37446,519220006,810066340,131676182,99649626,26,193731,1021,19742,19578,26141801149,473,269,34973738880,39606,70403,36572,3954278757,751005543,1224873625,960316815,2697213226
454,781858,268800,1497600,2133000000,1,0.5,1,0,60,100,50,0,1,50,0,1,0,500000,30,60,10,4,65546,24000000,128,100,1000,6.551515061956603,59479,3421,19722,445092945,970973113,110142048,73609087,38,188918,1412,23100,32267,47587681673,545,304,39854485916,66570,47309,42561,4997756165,671196410,932931192,872638794,2521523581
1161,649487,576000,1267200,1065600000,2,0.5,1,1,60,100,5,0,1,50,0,1,1,950000,30,60,10,4,65546,24000000,128,100,2000,7.789309415974803,43341,2990,20204,852368538,714988057,87773102,101710562,41,108937,736,31252,17753,23682304938,672,367,51657124415,47979,71001,41547,4877107523,698368799,961530063,1158744042,1806093656
2323,906105,960000,2188800,1331200000,3,0.5,1,1,60,500,50,3,1,50,0,1,1,500000,30,30,10,4,65546,24000000,128,100,2000,21.080846653816856,94719,3409,25586,1008891615,852812075,85963375,104030114,40,183964,730,39866,35772,47509440350,692,370,62258091219,76962,47095,47203,3428409045,656614771,885567026,1564610488,1517907417
80,986060,1497600,192000,665600000,2,0.5,1,1,100,500,5,0,1,50,0,1,1,950000,30,30,10,4,65546,24000000,128,100,1000,10.736032547620985,39519,2571,35492,856040018,1010562035,163370841,54417092,47,102879,1399,27719,28467,33632645263,634,319,74181075032,55687,65334,48714,4453678723,969775240,817468977,1065994449,1424351165
598,920591,268800,1344000,2133000000,1,0.5,1,0,60,100,5,0,1,50,0,1,1,950000,30,60,10,4,65546,24000000,128,100,2000,10.512544465560318,37888,4740,32837,463118954,979414775,179036576,63608565,38,180507,1398,30884,30449,45016501166,522,250,69887103484,39821,44903,57904,3602781350,914920771,1087181755,1122181663,1813873629
1537,885133,1574400,960000,1331200000,2,0.5,1,1,100,100,5,0,1,50,0,1,1,950000,30,30,10,4,65546,24000000,128,100,2000,25.151262632066675,99489,3040,31236,924552730,1015371012,113752553,100298588,51,115815,893,21290,27246,31808779195,742,211,51530743665,87725,35328,72730,4161862037,1012234071,1438414574,713803528,2612608000
1756,1091443,729600,1036800,2133000000,1,0.5,1,1,60,500,50,3,1,50,0,1,0,500000,30,60,10,4,65546,24000000,128,100,2000,23.526273378723545,98543,2292,36937,629375883,714877859,104234587,59269490,57,142986,1473,20737,30128,28600695855,672,255,64647182425,39535,74312,73205,4624472897,1043209758,1062708726,1435053368,1510004232
1229,468488,1804800,1574400,408000000,1,0.9,1,0,60,100,5,0,1,50,0,1,1,500000,30,30,10,4,65546,24000000,128,100,1000,7.025217118142438,46347,2323,16171,509663970,847696951,94972223,83832527,58,181356,1484,34285,27426,32786200649,750,173,65787187963,55347,41306,39014,5238793672,873107701,1127169336,765078179,2299436170
938,1031222,729600,1036800,408000000,2,0.5,1,0,60,100,50,3,1,50,0,1,0,950000,30,60,10,4,65546,24000000,128,100,1000,13.380897265447118,35814,4058,30692,528698864,786930134,121574923,54311537,33,208056,876,19710,21810,37206328185,744,346,39999750697,44811,52852,34258,4170698825,921036124,846297549,929707662,2708028695
1190,568624,883200,576000,800000000,2,0.5,1,1,60,100,50,3,1,50,0,1,0,500000,30,30,10,4,65546,24000000,128,100,1000,13.029007656704206,56543,3982,33708,516509200,837713134,128299543,110604155,45,112370,1034,20398,37021,28017658279,562,268,51500112119,68304,50985,71033,4181118636,870263485,1194103708,821238769,1678930488
1675,375773,1420800,1113600,1331200000,4,0.5,1,1,100,500,5,3,1,50,0,1,1,950000,30,30,10,4,65546,24000000,128,100,2000,22.472492968467645,108860,4399,19012,742096220,731731926,88954593,115110980,35,130644,810,31103,34673,44769828134,605,300,36818576826,51862,66538,54982,6170068462,849301382,1344213907,1289979847,2262337814
215,144970,1036800,960000,408000000,4,0.9,1,0,60,500,5,0,1,50,0,1,1,500000,30,60,10,4,65546,24000000,128,100,1000,9.38533355329027,64138,2535,37011,637372874,620499048,163142265,119388762,53,143755,888,32756,23870,44653869904,341,285,38456543638,50422,52601,35739,6131125008,726275844,743025431,1007738462,2194708365
1619,834462,1728000,652800,800000000,2,0.9,1,1,100,100,5,3,1,50,0,1,1,950000,30,60,10,4,65546,24000000,128,100,1000,24.925308166111158,94623,3387,21911,836385166,843712202,83130071,70465196,45,125862,937,39560,35447,35525690128,387,348,68663578912,59891,64637,67897,4007812526,815094621,1011608109,1580931662,1541302622
