,core_freq,gpu_freq,emc_freq,num_cores,memory_growth,logical_devices,scheduler.policy,vm.swappiness,vm.vfs_cache_pressure,vm.dirty_background_ratio,vm.drop_caches,vm.nr_hugepages,vm.overcommit_ratio,vm.overcommit_memory,vm.overcommit_hugepages,kernel.sched_child_runs_first,kernel.sched_rt_runtime_us,vm.dirty_bytes,vm.dirty_background_bytes,vm.dirty_ratio,swap_memory,kernel.max_pids,kernel.sched_latency_ns,kernel.sched_nr_migrate,kernel.cpu_time_max_percent,kernel.sched_time_avg_ms,inference_time,total_energy_consumption,migrations,context-switches,cache-misses,branch-misses,branch-load-misses,major-faults,minor-faults,sched_sched_wakeup_new,sched_sched_wakeup,sched_sched_switch,sched_sched_stat_runtime,sched_sched_process_wait,sched_sched_overutilized,cycles,sched_sched_load_avg_cpu,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,branch-loads
839012,1728000.0,1881600.0,1331200000.0,4.0,0.5,2.0,1,60,500,5,0,2,60,0,1,0,500000,30,60,10,2,65536,96000000,256,50,2000,11.36633092535484,35829.0,3185,17906,971847286,91496381,95822615,44,156378,1362,17908,34615,27296754715,620,310,60193196417,70668,38754,74571,4093247342,851243763,1011377304,1406355970,1771369744
1083894,2112000.0,1804800.0,408000000.0,4.0,0.5,1.0,1,60,500,5,0,1,50,0,2,0,500000,30,30,10,4,65536,96000000,128,50,1000,10.070314353374865,73417.0,2654,34164,802878159,167521551,106754021,31,129840,1129,25518,28909,27820358979,732,225,66113713650,52804,44488,72124,7086085082,964795092,1476647330,1183854325,1762064231
1028382,115200.0,1036800.0,204000000.0,1.0,0.9,1.0,0,60,100,50,3,1,50,1,2,1,500000,60,60,50,2,65536,96000000,128,50,1000,12.825816013386746,54124.0,4372,22629,547494364,121736960,111715003,36,176931,901,32105,36483,36121495774,585,203,39462397744,82090,58854,35614,3463666494,866664387,1027252314,1200872730,2394514864
449357,2112000.0,1574400.0,204000000.0,2.0,0.5,2.0,1,100,100,5,0,1,50,0,1,0,500000,60,30,50,2,65536,96000000,256,50,2000,12.852201931675298,111400.0,2521,23832,872847103,101639261,86542306,31,189819,895,33856,34184,38531049876,639,344,55233106088,73433,51494,63687,4915617302,519168858,1580103748,1410941668,2356708883
472351,422400.0,1958400.0,1331200000.0,1.0,0.9,1.0,1,100,500,50,0,1,50,1,1,1,950000,30,30,10,2,32768,96000000,128,50,1000,21.09405084424107,54176.0,4392,34705,586149889,124358902,62563197,33,95791,1327,18288,31066,40982865929,605,308,56096821358,73005,69638,63582,6724455540,899651219,1100382762,982901447,2734076128
1035104,1651200.0,883200.0,2133000000.0,2.0,0.9,2.0,0,60,100,50,3,1,50,0,2,1,500000,30,60,50,4,32768,24000000,128,50,2000,15.073804770829327,65601.0,2485,29596,507851561,140907300,100031496,31,177895,778,21620,37426,40663202314,465,246,78641601936,68755,74653,52950,4133194927,744521707,933999467,958392525,1616715791
704139,806400.0,2035200.0,1866000000.0,4.0,0.9,2.0,0,60,100,5,0,1,50,1,2,0,950000,60,30,10,2,65536,24000000,256,100,2000,20.168000458280407,100336.0,4463,17700,491921704,102617238,119226994,41,94044,846,21725,18182,28526339316,716,251,68078946041,69970,61220,36455,4020141724,773414906,731781680,910224786,1441804305
97243,2188800.0,1958400.0,408000000.0,3.0,0.9,1.0,0,60,500,5,0,2,60,0,2,1,950000,60,60,50,2,32768,24000000,128,50,2000,8.70029210304672,88112.0,3636,17529,778523094,147128484,58888424,54,171613,803,38191,36893,26386923278,490,331,53681860946,72758,59820,40973,6772682839,1007277459,1214828503,1043280418,1727676063
399890,2035200.0,2112000.0,2133000000.0,1.0,0.9,1.0,1,100,100,50,3,2,50,1,1,0,950000,30,30,50,4,32768,24000000,128,50,1000,20.56802929825058,50495.0,3940,32966,728266073,154322125,88065387,31,170381,1310,18209,20304,27693280644,664,295,69784597962,42806,57137,45719,4882046916,836838207,1273321014,1371912084,2740100727
613207,1113600.0,960000.0,665600000.0,1.0,0.9,1.0,1,100,100,50,3,1,60,0,2,1,950000,60,60,10,4,32768,24000000,128,100,1000,2.8176282324143846,50341.0,2371,21600,793618294,163345287,97832608,38,115574,795,30766,21110,34330287622,730,226,54077897382,49203,52054,66645,6614028793,844933075,1308078786,1543356004,2463820347
