,core_freq,gpu_freq,emc_freq,num_cores,memory_growth,logical_devices,scheduler.policy,vm.swappiness,vm.vfs_cache_pressure,vm.dirty_background_ratio,vm.drop_caches,vm.nr_hugepages,vm.overcommit_ratio,vm.overcommit_memory,vm.overcommit_hugepages,kernel.sched_child_runs_first,kernel.sched_rt_runtime_us,vm.dirty_bytes,vm.dirty_background_bytes,vm.dirty_ratio,swap_memory,kernel.max_pids,kernel.sched_latency_ns,kernel.sched_nr_migrate,kernel.cpu_time_max_percent,kernel.sched_time_avg_ms,inference_time,total_energy_consumption
777449,192000,1190400,204000000,4,0.5,1,0,100,500,50,0,1,50,0,1,1,500000,30,30,10,4,65546,24000000,128,100,2000,33.832314097965664,143165
85584,1420800,576000,665600000,3,0.9,1,0,60,500,5,3,1,50,0,1,0,500000,30,30,10,4,65546,24000000,128,100,1000,35.031382091615846,146155
813563,115200,729600,600000000,3,0.9,1,1,100,500,50,3,1,50,0,1,1,500000,30,60,10,4,65546,24000000,128,100,2000,34.22526304743086,142720
376344,729600,1574400,1866000000,1,0.5,1,0,60,100,5,3,1,50,0,1,1,500000,30,30,10,4,65546,24000000,128,100,1000,34.189753376716126,142031
800029,576000,1728000,1331200000,3,0.9,1,1,60,100,5,3,1,50,0,1,1,950000,30,30,10,4,65546,24000000,128,100,2000,34.28041030952278,141855
54021,1497600,576000,204000000,2,0.5,1,1,60,100,5,0,1,50,0,1,0,950000,30,30,10,4,65546,24000000,128,100,2000,11.79904671722145,144070
1066805,499200,1574400,800000000,1,0.5,1,1,60,100,50,3,1,50,0,1,0,950000,30,30,10,4,65546,24000000,128,100,2000,13.609037741023302,143856
321573,1190400,268800,408000000,1,0.5,1,0,60,100,50,0,1,50,0,1,0,950000,30,30,10,4,65546,24000000,128,100,2000,13.521114026502284,142051
415820,2112000,192000,204000000,3,0.9,1,0,60,500,5,0,1,50,0,1,1,950000,30,30,10,4,65546,24000000,128,100,1000,15.653984130481245,141984
324608,576000,2188800,204000000,3,0.9,1,0,60,100,5,0,1,50,0,1,0,500000,30,30,10,4,65546,24000000,128,100,1000,22.272269373173607,144576
1089333,1881600,1958400,2133000000,1,0.9,1,1,60,100,50,3,1,50,0,1,0,950000,30,30,10,4,65546,24000000,128,100,2000,23.184831119027535,142043
1012571,499200,883200,600000000,2,0.9,1,1,60,500,5,3,1,50,0,1,1,500000,30,60,10,4,65546,24000000,128,100,2000,20.950730044030678,144129
731395,345600,268800,408000000,1,0.9,1,1,60,100,5,0,1,50,0,1,0,500000,30,60,10,4,65546,24000000,128,100,2000,20.606849973872524,140937
797709,115200,268800,800000000,3,0.5,1,0,60,100,5,0,1,50,0,1,1,950000,30,30,10,4,65546,24000000,128,100,2000,13.302329181017033,141280
1200189,652800,806400,204000000,2,0.5,1,0,60,100,50,3,1,50,0,1,1,950000,30,30,10,4,65546,24000000,128,100,2000,10.571201330461806,141888
1008529,1881600,345600,204000000,3,0.5,1,1,100,100,5,3,1,50,0,1,0,500000,30,30,10,4,65546,24000000,128,100,2000,14.195080891364766,140408
304116,2112000,576000,665600000,2,0.9,1,1,100,500,50,3,1,50,0,1,0,950000,30,30,10,4,65546,24000000,128,100,1000,19.612006125507,143715
730291,1344000,2035200,600000000,3,0.5,1,0,100,100,50,3,1,50,0,1,0,500000,30,60,10,4,65546,24000000,128,100,2000,23.49690816035478,143760
72895,960000,115200,800000000,1,0.5,1,0,100,100,50,3,1,50,0,1,1,950000,30,60,10,4,65546,24000000,128,100,2000,17.656769610670715,144252
1134456,1344000,1267200,800000000,2,0.9,1,1,60,500,50,3,1,50,0,1,1,500000,30,30,10,4,65546,24000000,128,100,1000,10.580529203589208,145421
153311,1497600,2265600,800000000,2,0.5,1,0,100,500,5,3,1,50,0,1,1,950000,30,60,10,4,65546,24000000,128,100,2000,14.321526130707579,141537
439559,268800,499200,1065600000,1,0.5,1,1,60,100,5,0,1,50,0,1,0,950000,30,60,10,4,65546,24000000,128,100,2000,21.644723436707935,143910
670206,652800,1651200,2133000000,3,0.5,1,1,100,500,50,3,1,50,0,1,1,950000,30,60,10,4,65546,24000000,128,100,1000,16.221520367526733,142256
1009814,499200,2188800,800000000,1,0.9,1,0,100,100,5,3,1,50,0,1,0,950000,30,60,10,4,65546,24000000,128,100,1000,11.017838417809385,140173
865039,422400,115200,1331200000,2,0.5,1,1,60,100,5,0,1,50,0,1,1,950000,30,60,10,4,65546,24000000,128,100,2000,21.213182883498074,143421
799483,1958400,2265600,2133000000,3,0.5,1,0,100,500,50,3,1,50,0,1,1,500000,30,60,10,4,65546,24000000,128,100,2000,20.63941564973048,144381
208059,345600,1190400,1866000000,4,0.9,1,0,100,100,50,3,1,50,0,1,1,500000,30,60,10,4,65546,24000000,128,100,2000,18.406804087736937,144712
871927,960000,268800,600000000,4,0.9,1,1,100,500,50,3,1,50,0,1,0,950000,30,60,10,4,65546,24000000,128,100,2000,13.249682136934373,145381
908106,1958400,1881600,800000000,1,0.5,1,1,60,500,5,0,1,50,0,1,1,500000,30,60,10,4,65546,24000000,128,100,1000,14.221867568791815,144181
