,memory_growth,logical_devices,core_freq,gpu_freq,emc_freq,num_cores,scheduler.policy,vm.swappiness,vm.vfs_cache_pressure,vm.dirty_background_ratio,vm.drop_caches,vm.nr_hugepages,vm.overcommit_ratio,vm.overcommit_memory,vm.overcommit_hugepages,kernel.sched_child_runs_first,kernel.sched_rt_runtime_us,vm.dirty_bytes,vm.dirty_background_bytes,vm.dirty_ratio,swap_memory,kernel.max_pids,kernel.sched_latency_ns,kernel.sched_nr_migrate,kernel.cpu_time_max_percent,kernel.sched_time_avg_ms,total_energy_consumption,bug_id,baseline
0,0.5,1,2265600,2112000,2133000000,4,0,60,100,10,0,1,60,1,1,0,500000,30,60,50,1,65536,24000000,128,50,1000,66930,0,cbi
0,0.5,2,2265600,2112000,1866000000,4,1,60,500,10,0,1,60,1,2,1,500000,30,60,50,1,65536,24000000,128,50,2000,66875,1,cbi
0,0.5,1,2265600,2112000,1866000000,4,0,60,100,10,0,1,60,1,2,0,500000,30,60,50,1,65536,24000000,128,50,1000,65515,2,cbi
0,0.5,1,2265600,2112000,1866000000,2,0,60,500,10,0,1,60,1,1,0,500000,30,60,50,1,65536,24000000,256,50,2000,75100,3,cbi
0,0.5,1,2265600,2112000,1866000000,4,1,60,500,10,0,1,60,1,1,0,500000,60,60,50,1,65536,24000000,128,50,2000,67435,4,cbi
0,0.5,1,2265600,2112000,1866000000,4,0,60,100,10,0,1,60,1,2,0,500000,30,60,50,1,65536,24000000,128,50,1000,65818,5,cbi
0,0.5,1,2265600,2112000,1866000000,2,0,60,500,10,0,1,60,1,1,0,500000,30,60,50,1,65536,24000000,256,50,2000,73373,6,cbi
0,0.5,1,2265600,2112000,2133000000,4,0,100,100,10,0,1,60,1,1,0,500000,60,60,50,1,65536,96000000,128,50,1000,55028,7,cbi
0,0.5,1,2265600,2112000,1866000000,4,1,60,500,10,0,1,60,1,1,0,500000,60,60,50,1,65536,24000000,128,50,2000,69233,8,cbi
0,0.5,1,2265600,2112000,1866000000,2,0,60,500,10,0,1,60,1,2,1,500000,30,60,50,1,65536,24000000,128,50,2000,73837,9,cbi
0,0.5,1,2265600,2112000,2133000000,4,0,60,100,10,0,1,60,1,1,0,500000,30,60,50,1,65536,24000000,128,50,1000,61252,10,cbi
0,0.5,1,2265600,2112000,1866000000,4,1,60,500,10,0,1,60,1,1,0,500000,60,60,50,1,65536,24000000,128,50,2000,67813,11,cbi
0,0.5,1,2265600,2112000,1866000000,2,0,60,500,10,0,1,60,1,2,0,500000,30,60,50,1,65536,24000000,128,50,2000,70849,12,cbi
0,0.5,1,2265600,2112000,1866000000,4,0,100,100,10,0,1,60,1,1,0,500000,60,60,50,1,65536,96000000,128,50,1000,63151,13,cbi
0,0.5,1,2265600,2112000,1866000000,4,1,100,100,10,0,1,60,1,1,0,500000,60,60,50,1,32768,96000000,128,50,1000,63337,14,cbi
0,0.5,1,2265600,2112000,2133000000,4,0,100,100,10,0,1,60,1,1,0,500000,30,60,50,1,65536,24000000,128,50,1000,64876,15,cbi
0,0.5,1,2265600,2112000,1866000000,4,1,100,100,10,0,1,60,1,1,0,500000,60,60,50,1,32768,96000000,128,50,1000,56721,16,cbi
0,0.5,1,2265600,2112000,1866000000,4,0,60,100,10,0,1,60,1,2,0,500000,30,60,50,1,65536,24000000,128,50,1000,68363,17,cbi
0,0.5,1,2265600,2112000,1866000000,2,0,60,500,10,0,1,60,1,1,0,500000,30,60,50,1,65536,24000000,256,50,2000,71675,18,cbi
0,0.5,1,2265600,2112000,1866000000,4,0,100,100,10,0,1,60,1,1,0,500000,60,60,50,1,65536,96000000,128,50,1000,57518,19,cbi
0,0.5,1,2265600,2112000,1866000000,4,0,100,100,10,0,1,60,1,1,0,500000,60,60,50,1,65536,96000000,128,50,1000,64396,20,cbi
0,0.5,2,2265600,2112000,1866000000,4,1,60,500,10,0,1,60,1,2,1,500000,30,60,50,1,65536,24000000,128,50,2000,68254,21,cbi
0,0.5,1,2265600,2112000,1866000000,4,0,60,100,10,0,1,60,1,2,0,500000,30,60,50,1,65536,24000000,128,50,1000,62471,22,cbi
0,0.5,2,2265600,2112000,1866000000,4,1,60,500,10,0,1,60,1,2,1,500000,30,60,50,1,65536,24000000,128,50,2000,68920,23,cbi
0,0.5,1,2265600,2112000,1866000000,4,0,100,100,10,0,1,60,1,1,0,500000,60,60,50,1,65536,24000000,128,100,1000,64919,24,cbi
0,0.5,2,2265600,2112000,1866000000,4,1,60,500,10,0,1,60,1,2,1,500000,30,60,50,1,65536,24000000,128,50,2000,68499,25,cbi
0,0.5,1,2265600,2112000,1866000000,4,0,60,100,10,0,1,60,1,2,0,500000,30,60,50,1,65536,24000000,128,50,2000,63045,26,cbi
0,0.5,1,2265600,2112000,1866000000,4,0,100,100,10,0,1,60,1,1,0,500000,60,60,50,1,65536,96000000,128,50,1000,60751,27,cbi
0,0.5,1,2265600,2112000,1866000000,4,1,100,100,10,0,1,60,1,1,0,500000,60,60,50,1,32768,96000000,128,50,1000,59293,28,cbi
0,0.5,2.0,2188800.0,268800.0,600000000.0,2.0,0.0,100.0,500.0,80.0,0.0,1.0,60,1.0,2.0,1.0,950000.0,30.0,60.0,50.0,1.0,32768.0,24000000.0,256,100.0,1000.0,77628,0,encore
