,core_freq,gpu_freq,emc_freq,num_cores,memory_growth,logical_devices,scheduler.policy,vm.swappiness,vm.vfs_cache_pressure,vm.dirty_background_ratio,vm.drop_caches,vm.nr_hugepages,vm.overcommit_ratio,vm.overcommit_memory,vm.overcommit_hugepages,kernel.sched_child_runs_first,kernel.sched_rt_runtime_us,vm.dirty_bytes,vm.dirty_background_bytes,vm.dirty_ratio,swap_memory,kernel.max_pids,kernel.sched_latency_ns,kernel.sched_nr_migrate,kernel.cpu_time_max_percent,kernel.sched_time_avg_ms,inference_time,total_energy_consumption
672,806400.0,576000.0,408000000.0,4.0,0.5,1.0,1,100,100,10,3,2,60,1,1,1,500000,30,30,5,1,65536,24000000,256,100,2000,14.164048737680009,13172.0
682,2035200.0,960000.0,600000000.0,1.0,0.5,2.0,1,60,500,10,0,1,50,1,1,1,500000,30,60,5,4,32768,24000000,128,100,1000,9.813867814546072,69875.0
667,806400.0,1344000.0,2133000000.0,2.0,0.5,1.0,0,60,500,80,3,2,50,1,2,0,500000,60,30,50,1,65536,24000000,256,50,2000,21.16197215361361,91345.0
1223,960000.0,2188800.0,204000000.0,3.0,0.5,2.0,0,60,100,10,3,2,50,0,2,1,500000,60,30,50,4,32768,24000000,128,100,1000,9.81025998055146,43005.0
1755,1190400.0,960000.0,800000000.0,2.0,0.9,1.0,0,60,100,80,3,1,60,0,2,0,950000,30,30,5,4,32768,96000000,256,50,2000,9.298231159628287,98577.0
1030,1574400.0,806400.0,665600000.0,3.0,0.9,1.0,0,60,100,80,0,2,60,0,1,1,950000,60,30,50,1,65536,96000000,256,50,1000,11.296948383030774,39199.0
46,1113600.0,576000.0,800000000.0,2.0,0.9,1.0,0,100,500,80,3,2,60,0,1,0,950000,30,60,50,1,65536,24000000,256,50,1000,8.718618220842478,51570.0
837,1651200.0,1344000.0,1866000000.0,1.0,0.9,2.0,0,100,500,80,3,2,60,0,2,0,950000,30,30,5,4,65536,24000000,128,50,2000,9.951069637680504,102658.0
329,652800.0,422400.0,665600000.0,3.0,0.9,1.0,1,100,100,80,0,1,50,0,2,0,500000,60,60,50,4,32768,96000000,128,100,1000,28.260606781077914,87305.0
808,1804800.0,806400.0,2133000000.0,1.0,0.5,1.0,0,60,100,80,3,2,60,1,1,1,950000,60,60,5,1,65536,24000000,128,50,1000,11.313656340888784,91682.0
58,115200.0,499200.0,408000000.0,1.0,0.9,1.0,1,60,500,80,0,2,50,0,2,1,500000,30,60,5,4,32768,96000000,256,50,1000,19.851020077606183,96349.0
1596,1190400.0,806400.0,665600000.0,1.0,0.5,2.0,1,60,500,80,3,2,50,0,2,1,950000,30,60,50,4,65536,96000000,256,50,2000,3.3532773593048613,36043.0
580,1574400.0,883200.0,2133000000.0,4.0,0.5,2.0,1,60,100,10,0,1,60,0,2,1,950000,60,30,50,4,65536,96000000,256,100,1000,2.8323084349816763,100186.0
1459,1267200.0,1113600.0,600000000.0,3.0,0.5,1.0,0,100,100,80,3,1,60,1,1,0,500000,60,60,50,1,32768,96000000,128,100,2000,19.929530721417276,112463.0
2362,960000.0,422400.0,1065600000.0,2.0,0.5,1.0,1,100,100,80,3,2,50,1,1,1,950000,60,30,5,1,32768,96000000,128,50,1000,23.901757079848128,57772.0
2040,1113600.0,268800.0,1331200000.0,4.0,0.5,2.0,1,100,500,80,3,2,50,1,1,0,950000,30,30,5,1,65536,96000000,256,50,1000,11.507729487279462,102456.0
386,1881600.0,1728000.0,1331200000.0,3.0,0.5,1.0,1,100,100,80,0,1,50,1,1,1,950000,30,30,5,1,32768,24000000,256,100,2000,8.254015887693564,40943.0
1248,2188800.0,1113600.0,408000000.0,1.0,0.5,2.0,0,60,100,10,3,2,50,0,2,0,500000,30,30,50,4,65536,24000000,256,50,2000,11.691340981776374,47654.0
829,1267200.0,1574400.0,2133000000.0,3.0,0.5,1.0,1,100,500,80,0,2,60,0,1,0,500000,60,30,5,1,65536,24000000,256,100,2000,9.773715577881227,107260.0
1117,576000.0,806400.0,2133000000.0,4.0,0.9,1.0,1,100,100,80,0,2,60,1,1,1,500000,30,30,50,4,32768,96000000,256,50,1000,7.991162422443532,50852.0
685,729600.0,960000.0,1866000000.0,3.0,0.5,2.0,0,60,100,10,3,2,50,0,2,0,500000,30,30,50,4,65536,24000000,256,50,2000,10.838374305697894,22913.0
1051,729600.0,1958400.0,800000000.0,3.0,0.5,1.0,1,60,100,80,3,1,50,1,1,0,500000,60,60,50,4,32768,24000000,128,100,2000,6.788400896839807,57153.0
2178,192000.0,499200.0,665600000.0,1.0,0.9,1.0,1,100,500,80,3,1,60,0,2,0,500000,60,60,5,4,32768,96000000,128,100,1000,22.485238539067673,39950.0
119,1958400.0,1651200.0,600000000.0,3.0,0.9,1.0,0,100,100,10,0,1,50,0,2,0,950000,60,30,50,4,65536,96000000,128,100,1000,12.632056485688453,64002.0
1184,2265600.0,192000.0,800000000.0,2.0,0.9,1.0,0,60,100,80,0,2,50,1,1,1,950000,30,60,50,1,32768,24000000,256,100,2000,8.620670716186035,64992.0
1754,345600.0,1497600.0,800000000.0,1.0,0.9,1.0,1,100,100,80,0,1,50,0,1,1,500000,30,60,5,1,32768,24000000,256,50,1000,14.22657473917857,64863.0
1245,883200.0,192000.0,204000000.0,1.0,0.5,1.0,1,60,100,10,3,1,60,0,1,0,500000,60,30,5,4,65536,24000000,256,100,1000,10.40479864581894,118804.0
36,192000.0,1958400.0,665600000.0,3.0,0.5,2.0,1,60,500,10,3,2,50,1,2,0,950000,60,60,5,4,32768,96000000,128,100,2000,21.664759612479717,36574.0
476,1113600.0,1574400.0,1331200000.0,4.0,0.9,1.0,0,60,500,10,3,2,60,1,2,1,950000,60,60,5,4,32768,96000000,128,50,1000,9.179637594067248,69935.0
745,1728000.0,1267200.0,800000000.0,2.0,0.5,2.0,1,60,500,10,0,2,50,1,1,1,950000,60,30,50,4,32768,96000000,256,100,2000,9.945266027331794,110255.0
1478,1036800.0,729600.0,665600000.0,3.0,0.5,1.0,0,60,100,80,3,2,60,1,2,1,950000,30,60,5,4,65536,24000000,128,50,2000,6.8839754008413925,46455.0
