core_freq,gpu_freq,emc_freq,num_cores,memory_growth,logical_devices,scheduler.policy,vm.swappiness,vm.vfs_cache_pressure,vm.dirty_background_ratio,vm.drop_caches,vm.nr_hugepages,vm.overcommit_ratio,vm.overcommit_memory,vm.overcommit_hugepages,kernel.sched_child_runs_first,kernel.sched_rt_runtime_us,vm.dirty_bytes,vm.dirty_background_bytes,vm.dirty_ratio,swap_memory,kernel.max_pids,kernel.sched_latency_ns,kernel.sched_nr_migrate,kernel.cpu_time_max_percent,kernel.sched_time_avg_ms,inference_time,total_energy_consumption,migrations,context-switches,cache-misses,branch-misses,branch-load-misses,major-faults,minor-faults,sched_sched_wakeup_new,sched_sched_wakeup,sched_sched_switch,sched_sched_stat_runtime,sched_sched_process_wait,sched_sched_overutilized,cycles,sched_sched_load_avg_cpu,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,branch-loads
1574400.0,1497600.0,600000000.0,3.0,0.9,2.0,1,100,500,80,3,2,60,0,2,0,950000,60,30,50,4,65536,96000000,256,50,1000,81.73029203612276,239199.0,3382,31512,621656662,107983534,86064845,57,111876,1464,29669,34699,50791331875,362,327,70748160359,51173,38416,38664,5983884475,765625754,1153907597,1534351121,2200409956
1958400.0,729600.0,1331200000.0,4.0,0.9,1.0,1,60,100,80,0,2,50,0,1,1,500000,30,30,50,1,32768,96000000,256,100,2000,80.96232428294486,242220.0,2390,30334,848520122,160175289,98944160,39,197351,1148,38075,17346,27755029770,731,315,74356607615,82252,34671,67198,6565846540,621926576,1369111219,949164675,2239956872
1036800.0,1804800.0,600000000.0,4.0,0.5,1.0,1,100,100,80,0,1,50,1,1,1,500000,30,30,5,1,65536,96000000,256,50,1000,77.39725872237707,229380.0,2351,33754,436356021,133615434,96277996,59,212203,1122,40832,23474,30634536371,607,241,56052413131,63132,64073,46837,6825409701,1001182928,1452680927,1473688665,2727301232
960000.0,1190400.0,1866000000.0,2.0,0.9,2.0,1,100,500,10,3,2,60,1,2,0,950000,60,30,50,4,32768,96000000,128,50,1000,61.63862946415877,209217.0,3808,22653,737406737,166608224,85497153,55,114308,1500,41088,35529,23654891865,513,271,56753021803,44166,37694,53728,4778270901,992070017,1398012778,1058558720,2623809457
652800.0,1651200.0,1065600000.0,1.0,0.5,1.0,0,60,100,80,0,1,50,1,1,1,950000,30,60,5,4,65536,96000000,256,100,2000,47.72217206141977,179288.0,2792,18220,832965048,100800079,92697635,37,127967,1162,24169,27199,38997965227,691,196,51450787546,59774,74387,36808,6020576288,545699695,924655357,1291435534,2849434768
268800.0,499200.0,1065600000.0,1.0,0.9,1.0,1,60,500,10,0,2,60,1,2,0,950000,30,60,50,1,32768,96000000,256,100,2000,92.91969512003173,244253.0,2208,17875,916562680,86449262,95846429,30,96595,1446,38436,26662,29258256800,599,361,62112259837,61896,68873,52421,6860655018,456004361,1143499227,836204048,1916131192
883200.0,2188800.0,2133000000.0,4.0,0.5,1.0,1,60,500,10,0,2,60,1,2,0,950000,60,60,50,1,65536,24000000,128,50,2000,78.01356263741843,177233.0,2872,34947,532426952,128420263,80748899,45,134817,1383,30587,35884,50128472880,364,352,63726461331,40325,73725,53030,3656913588,620192263,1463905084,1219366714,1843969491
1958400.0,1267200.0,665600000.0,2.0,0.5,2.0,1,60,500,10,0,1,60,1,2,0,950000,60,60,5,1,32768,96000000,256,100,1000,86.24940130112779,270662.0,2404,24104,509558043,86054691,60966070,25,112455,849,27324,18489,27031334127,630,325,49503285587,63172,40682,68360,6167021280,1044848927,1019903932,1592852992,2626278639
729600.0,2035200.0,408000000.0,1.0,0.5,1.0,0,100,500,80,3,2,50,0,2,0,500000,60,60,5,4,65536,24000000,128,50,1000,64.6778721160681,264177.0,2946,26670,649141668,171386605,64675404,25,206750,699,18860,22129,41979707777,580,321,34628922643,41049,67250,52727,6737794895,863896467,1446539104,1509778449,2464240598
2265600.0,806400.0,665600000.0,1.0,0.9,1.0,1,60,500,80,0,2,60,1,1,0,950000,30,60,5,1,32768,24000000,256,50,1000,40.87481796436981,217238.0,4718,29869,769750527,135006784,124143714,26,203558,1143,35835,19550,34817387920,756,320,35131812480,70358,56804,60562,4310351995,826552070,872157286,1569377591,2790818557
